마감 기준:,"2021
31/12","2020
31/12","2019
31/12","2018
31/12"
총매출,29899,17095,47007,44438
매출,29899,17095,47007,44438
기타 매출 총계,-,-,-,-
총매출원가,18352,12480,21135,21190
총 이익,11547,4615,25872,23248
총 영업비용,28332,29564,40389,39174
판매/일반/관리 비용 총계,10789,9336,14861,13985
연구 및 개발,-,-,-,-
감가상각/무형자산상각,1998,2312,2581,2329
영업이자비용(수익) 순계,-,-,41,-53
특별비용(수익),-4212,4273,-,-
기타 영업비용 총계,1405,1163,1771,1723
영업 이익,1567,-12469,6618,5264
영업외이자수익(비용) 순계,-1560,-3466,-182,-297
자산처분이익(손실),-,-,-,-
기타비용 순계,391,348,-238,184
세전당기순이익,398,-15587,6198,5151
소득세충당금,118,-3202,1431,1216
세후당기순이익,280,-12385,4767,3935
소액주주지분,-,-,-,-
관계회사 주식,-,-,-,-
미국 일반회계기준에 따른 조정,-,-,-,-
특별손익항목 차감전 당기순이익,280,-12385,4767,3935
특별손익항목 총계,-,-,-,-
순이익,280,-12385,4767,3935
당기순이익에 대한 조정 총계,-,-,-,-
특별손익항목 제외 보통주주 분배 가능 이익,280,-12385,4767,3935
희석화에 따른 조정,-,-,-,-
희석 당기순이익,280,-12385,4767,3935
희석된 가중 평균 주식,641,636,653,694
특별손익항목 제외 희석주당순이익,0.44,-19.47,7.3,5.67
주당배당금 - 발행 보통주,-,0.4,1.5,1.31
희석 정상주당순이익,-3.83,-15.07,7.3,5.67
