마감 기준:,"2021
31/12","2020
31/12","2019
31/12","2018
31/12"
총매출,8523.76,7423.56,4911.89,3366.37
매출,8523.76,7423.56,4911.89,3366.37
기타 매출 총계,-,-,-,-
총매출원가,3735.53,3612.13,2017.1,1095.01
총 이익,4788.24,3811.43,2894.79,2271.35
총 영업비용,7164.89,6529.6,4120.48,2629.31
판매/일반/관리 비용 총계,3089.16,2597.98,1847.77,1478.2
연구 및 개발,-,-,-,-
감가상각/무형자산상각,-,-,-,-
영업이자비용(수익) 순계,-,-,-,-
특별비용(수익),340.2,319.5,255.6,56.1
기타 영업비용 총계,-,-,-,-
영업 이익,1358.88,893.95,791.42,737.05
영업외이자수익(비용) 순계,-308.68,-283.25,-269.79,-179.57
자산처분이익(손실),-,-,-,-
기타비용 순계,-5.65,-16.75,-3.71,4.67
세전당기순이익,1044.55,593.96,517.92,562.15
소득세충당금,169.03,77.15,62.19,100.79
세후당기순이익,875.51,516.8,455.74,461.37
소액주주지분,-22.4,-20.58,-38.66,-32.61
관계회사 주식,112.35,88.3,13.54,-
미국 일반회계기준에 따른 조정,-,-,-,-
특별손익항목 차감전 당기순이익,965.46,584.52,430.61,428.75
특별손익항목 총계,-,-,-,23.3
순이익,965.46,584.52,430.61,452.05
당기순이익에 대한 조정 총계,-,-,-,-
특별손익항목 제외 보통주주 분배 가능 이익,965.46,584.52,430.61,428.75
희석화에 따른 조정,-,-,-,-
희석 당기순이익,965.46,584.52,430.61,452.05
희석된 가중 평균 주식,293.67,300.52,199.13,159.27
특별손익항목 제외 희석주당순이익,3.29,1.95,2.16,2.69
주당배당금 - 발행 보통주,0.89,0.78,0.23,0.04
희석 정상주당순이익,4.26,3.78,3.29,2.98
