마감 기준:,"2021
31/12","2020
31/12","2019
31/12","2018
31/12"
총매출,11142,9789,11296,11458
매출,11142,9789,11296,11458
기타 매출 총계,-,-,-,-
총매출원가,5197,4948,5878,6034
총 이익,5945,4841,5418,5424
총 영업비용,6695,6787,7307,7499
판매/일반/관리 비용 총계,317,300,291,363
연구 및 개발,-,-,-,-
감가상각/무형자산상각,1181,1154,1138,1102
영업이자비용(수익) 순계,-,-,-,-
특별비용(수익),-,385,-,-
기타 영업비용 총계,-,-,-,-
영업 이익,4447,3002,3989,3959
영업외이자수익(비용) 순계,-646,-625,-604,-557
자산처분이익(손실),-,-,-,-
기타비용 순계,77,153,106,67
세전당기순이익,3878,2530,3491,3469
소득세충당금,873,517,769,803
세후당기순이익,3005,2013,2722,2666
소액주주지분,-,-,-,-
관계회사 주식,-,-,-,-
미국 일반회계기준에 따른 조정,-,-,-,-
특별손익항목 차감전 당기순이익,3005,2013,2722,2666
특별손익항목 총계,-,-,-,-
순이익,3005,2013,2722,2666
당기순이익에 대한 조정 총계,-2,-3,-5,-6
특별손익항목 제외 보통주주 분배 가능 이익,3003,2010,2717,2660
희석화에 따른 조정,2,1,5,5
희석 당기순이익,3005,2011,2722,2665
희석된 가중 평균 주식,248.1,256.6,265.6,280.2
특별손익항목 제외 희석주당순이익,12.11,7.84,10.25,9.51
주당배당금 - 발행 보통주,4.16,3.76,3.6,3.04
희석 정상주당순이익,12.11,9.03,10.25,9.51
