마감 기준:,"2021
31/12","2020
31/12","2019
31/12","2018
31/12"
총매출,4972,5259,7098,14014
매출,4972,5259,7098,14014
기타 매출 총계,-,-,-,-
총매출원가,3596,3878,5204,11397
총 이익,1376,1381,1894,2617
총 영업비용,4370,4633,6519,12689
판매/일반/관리 비용 총계,251,277,400,604
연구 및 개발,17,17,28,103
감가상각/무형자산상각,270,279,295,576
영업이자비용(수익) 순계,-,-,-,-
특별비용(수익),236,182,592,9
기타 영업비용 총계,-,-,-,-
영업 이익,602,626,579,1325
영업외이자수익(비용) 순계,-259,-365,-319,-381
자산처분이익(손실),-9,-8,-10,-10
기타비용 순계,-10,-82,-40,-66
세전당기순이익,324,171,210,868
소득세충당금,66,-40,84,167
세후당기순이익,258,211,126,701
소액주주지분,-,-,-,-
관계회사 주식,-,-,-,-
미국 일반회계기준에 따른 조정,-,-,-,-
특별손익항목 차감전 당기순이익,258,211,126,701
특별손익항목 총계,-,50,344,-59
순이익,258,261,470,642
당기순이익에 대한 조정 총계,-2,-2,-2,-2
특별손익항목 제외 보통주주 분배 가능 이익,256,209,124,699
희석화에 따른 조정,-,-,9,11
희석 당기순이익,256,259,477,651
희석된 가중 평균 주식,435,439,463,503
특별손익항목 제외 희석주당순이익,0.59,0.48,0.29,1.41
주당배당금 - 발행 보통주,0.04,0.02,0.12,0.24
희석 정상주당순이익,1.04,0.76,1.07,1.44
