마감 기준:,"2021
31/12","2020
31/12","2019
31/12","2018
31/12"
총매출,54968,38542,42951,49604
매출,54968,38542,42951,49604
기타 매출 총계,-,-,-,-
총매출원가,44191,33329,36657,41074
총 이익,10777,5213,6294,8530
총 영업비용,47561,36364,44018,45471
판매/일반/관리 비용 총계,1645,1471,1590,1782
연구 및 개발,857,768,765,800
감가상각/무형자산상각,388,401,419,469
영업이자비용(수익) 순계,-,-,-,-
특별비용(수익),480,395,4587,1346
기타 영업비용 총계,-,-,-,-
영업 이익,7407,2178,-1067,4133
영업외이자수익(비용) 순계,291,-838,-946,-426
자산처분이익(손실),105,592,-,-
기타비용 순계,342,139,766,42
세전당기순이익,8145,2071,-1247,3749
소득세충당금,1740,777,470,809
세후당기순이익,6405,1294,-1717,2940
소액주주지분,-94,-78,-87,-134
관계회사 주식,-,-,-,-
미국 일반회계기준에 따른 조정,-,-,-,-
특별손익항목 차감전 당기순이익,6311,1216,-1804,2806
특별손익항목 총계,-,-,445,1835
순이익,6311,1216,-1359,4641
당기순이익에 대한 조정 총계,-32,-,-,-
특별손익항목 제외 보통주주 분배 가능 이익,6279,1216,-1804,2806
희석화에 따른 조정,-,-,-,-
희석 당기순이익,6279,1216,-1359,4641
희석된 가중 평균 주식,749,742.3,742.5,747.2
특별손익항목 제외 희석주당순이익,8.38,1.64,-2.43,3.76
주당배당금 - 발행 보통주,2.8,2.8,2.1,-
희석 정상주당순이익,9.03,1.01,1.59,5.17
