마감 기준:,"2021
31/12","2020
31/12","2019
31/12","2018
31/12"
총매출,6461.44,5109,6074.43,5800.27
매출,6461.44,5109,6074.43,5800.27
기타 매출 총계,-,-,-,-
총매출원가,3765.42,3096.39,3549.3,3390.26
총 이익,2696.03,2012.61,2525.13,2410.01
총 영업비용,5657.86,4688.46,5454.04,5213.05
판매/일반/관리 비용 총계,1951.28,1666.04,1958.3,1821.09
연구 및 개발,-,-,-,-
감가상각/무형자산상각,2.24,1.22,1.36,1.71
영업이자비용(수익) 순계,-61.08,-75.19,-54.92,-
특별비용(수익),-,-,-,-
기타 영업비용 총계,-,-,-,-
영업 이익,803.58,420.54,620.39,587.22
영업외이자수익(비용) 순계,0.2,1.34,5.12,4.38
자산처분이익(손실),-,-,-,-
기타비용 순계,-,-,-,-
세전당기순이익,803.78,421.88,625.51,591.6
소득세충당금,205.15,115.61,171.08,152.63
세후당기순이익,598.63,306.28,454.43,438.97
소액주주지분,-,-,-,-
관계회사 주식,-,-,-,-
미국 일반회계기준에 따른 조정,-,-,-,-
특별손익항목 차감전 당기순이익,598.63,306.28,454.43,438.97
특별손익항목 총계,-,-,-,-4.68
순이익,598.63,306.28,454.43,434.29
당기순이익에 대한 조정 총계,-,-,-,-
특별손익항목 제외 보통주주 분배 가능 이익,598.63,306.28,454.43,438.97
희석화에 따른 조정,-,-,-,-
희석 당기순이익,598.63,306.28,454.43,434.29
희석된 가중 평균 주식,111.72,113.32,116.41,121.6
특별손익항목 제외 희석주당순이익,5.36,2.7,3.9,3.61
주당배당금 - 발행 보통주,1.52,1.36,1.24,1.12
희석 정상주당순이익,5.36,2.7,3.9,3.61
