마감 기준:,"2021
31/12","2020
31/12","2019
31/12","2018
31/12"
총매출,1460.86,1200.72,1314.58,1459.87
매출,1460.86,1200.72,1314.58,1459.87
기타 매출 총계,-,-,-,-
총매출원가,764.46,661.73,708.37,659.61
총 이익,696.4,539,606.21,800.27
총 영업비용,1092.98,1002.07,1080.79,936.47
판매/일반/관리 비용 총계,204.06,180.59,185.34,160.24
연구 및 개발,139.57,126.9,130,122.77
감가상각/무형자산상각,7.58,7.25,7.78,-
영업이자비용(수익) 순계,-15.12,-12.91,12.83,-6.15
특별비용(수익),-,45.77,44.25,-
기타 영업비용 총계,-,-,-,-
영업 이익,367.88,198.66,233.79,523.4
영업외이자수익(비용) 순계,-1.84,6.27,14.24,9.06
자산처분이익(손실),-,-,-,-
기타비용 순계,0.44,0.76,0.34,1.93
세전당기순이익,366.48,205.69,248.38,534.39
소득세충당금,88.61,45.35,68.11,117.47
세후당기순이익,277.87,160.34,180.26,416.92
소액주주지분,0.55,-0.77,-0.03,-0.14
관계회사 주식,-,-,-,-
미국 일반회계기준에 따른 조정,-,-,-,-
특별손익항목 차감전 당기순이익,278.42,159.57,180.23,416.78
특별손익항목 총계,-,-,-,-12.75
순이익,278.42,159.57,180.23,404.03
당기순이익에 대한 조정 총계,-,-,-,-
특별손익항목 제외 보통주주 분배 가능 이익,278.42,159.57,180.23,416.78
희석화에 따른 조정,-,-,-,-
희석 당기순이익,278.42,159.57,180.23,404.03
희석된 가중 평균 주식,53.93,53.78,53.84,54.73
특별손익항목 제외 희석주당순이익,5.16,2.97,3.35,7.62
주당배당금 - 발행 보통주,-,-,-,-
희석 정상주당순이익,5.16,3.63,3.94,7.62
