마감 기준:,"2021
31/12","2020
31/12","2019
31/12","2018
31/12"
총매출,16226,14852,10187,5823
매출,16226,14852,10187,5823
기타 매출 총계,-,-,-,-
총매출원가,8128,7812,5261,3069
총 이익,8098,7040,4926,2754
총 영업비용,13938,13000,8625,4084
판매/일반/관리 비용 총계,5795,5528,3284,1228
연구 및 개발,-,-,-,-
감가상각/무형자산상각,-,-,-,-
영업이자비용(수익) 순계,-,-,-,-
특별비용(수익),15,-340,80,-213
기타 영업비용 총계,-,-,-,-
영업 이익,2288,1852,1562,1739
영업외이자수익(비용) 순계,-622,-681,-479,-184
자산처분이익(손실),-,-,-,-
기타비용 순계,-,-,-,-
세전당기순이익,1666,1171,1083,1555
소득세충당금,363,196,198,359
세후당기순이익,1303,975,885,1196
소액주주지분,-69,-17,-21,-
관계회사 주식,100,-,29,10
미국 일반회계기준에 따른 조정,-,-,-,-
특별손익항목 차감전 당기순이익,1334,958,893,1206
특별손익항목 총계,-,-,-,-19
순이익,1334,958,893,1187
당기순이익에 대한 조정 총계,-,-,-,-
특별손익항목 제외 보통주주 분배 가능 이익,1334,958,893,1206
희석화에 따른 조정,-,-,-,-
희석 당기순이익,1334,958,893,1187
희석된 가중 평균 주식,671.6,683.4,522.6,413.7
특별손익항목 제외 희석주당순이익,1.99,1.4,1.71,2.92
주당배당금 - 발행 보통주,-,-,-,-
희석 정상주당순이익,2.25,1.52,1.97,2.52
