마감 기준:,"2021
31/12","2020
31/12","2019
31/12","2018
31/12"
총매출,5152.4,3973.2,2451.9,2689.8
매출,5152.4,3973.2,2451.9,2689.8
기타 매출 총계,-,-,-,-
총매출원가,3163.9,2568.3,1540.2,1677.3
총 이익,1988.5,1404.9,911.7,1012.5
총 영업비용,4595.7,3915.6,2176.8,2247.9
판매/일반/관리 비용 총계,1028,789.3,436.4,432.3
연구 및 개발,-,-,-,-
감가상각/무형자산상각,332.9,335.1,124.3,125.8
영업이자비용(수익) 순계,-12,18.6,8.1,-1.9
특별비용(수익),77.7,198.2,65.9,13
기타 영업비용 총계,5.2,6.1,1.9,1.4
영업 이익,556.7,57.6,275.1,441.9
영업외이자수익(비용) 순계,-87.7,-111.1,-88.9,-99.6
자산처분이익(손실),-,-,-,-
기타비용 순계,44,8.1,4.7,7.2
세전당기순이익,513,-45.4,190.9,349.5
소득세충당금,-21.8,11.4,31.8,179
세후당기순이익,534.8,-56.8,159.1,170.5
소액주주지분,-2.5,-0.9,-,-
관계회사 주식,-11.4,-,-,-
미국 일반회계기준에 따른 조정,-,-,-,-
특별손익항목 차감전 당기순이익,520.9,-57.7,159.1,170.5
특별손익항목 총계,41.6,24.4,-,98.9
순이익,562.5,-33.3,159.1,269.4
당기순이익에 대한 조정 총계,-,-,-,-
특별손익항목 제외 보통주주 분배 가능 이익,520.9,-57.7,159.1,170.5
희석화에 따른 조정,-,-,-,-
희석 당기순이익,562.5,-33.3,159.1,269.4
희석된 가중 평균 주식,421.2,382.8,208.9,209.1
특별손익항목 제외 희석주당순이익,1.24,-0.15,0.76,0.82
주당배당금 - 발행 보통주,-,-,2.12,1.96
희석 정상주당순이익,1.44,0.64,1.34,0.98
