마감 기준:,"2021
31/12","2020
31/12","2019
31/12","2018
31/12"
총매출,83064,77155,64888,56912
총 프리미엄이익,82877,76001,64387,56398
순 투자이익,187,1154,501,514
미실현이익 (손실),-,-,-,-
기타 매출 총계,-,-,-,-
총 영업비용,79916,72169,61696,54598
"손익,혜택 및 조정,총",69199,61628,53857,45882
정책획득비용 상환,-,-,-,-
판매/일반/관리 비용 총계,-,-,236,-
감가상각/무형자산상각,596,489,458,405
영업이자비용(수익) 순계,-,-,-,-
특별비용(수익),-,-,-,786
기타 영업비용 총계,10121,10052,7145,7525
영업 이익,3148,4986,3192,2314
영업외이자수익(비용) 순계,-326,-283,-242,-218
자산처분이익(손실),-,-,-,-
기타비용 순계,532,-103,506,-33
세전당기순이익,3354,4600,3456,2063
소득세충당금,485,1307,763,352
세후당기순이익,2869,3293,2693,1711
소액주주지분,-1,-,-,-
관계회사 주식,65,74,14,11
미국 일반회계기준에 따른 조정,-,-,-,-
특별손익항목 차감전 당기순이익,2933,3367,2707,1722
특별손익항목 총계,-,-,-,-39
순이익,2933,3367,2707,1683
당기순이익에 대한 조정 총계,-2,-,-,-
특별손익항목 제외 보통주주 분배 가능 이익,2933,3367,2707,1722
희석화에 따른 조정,-,-,-,-
희석 당기순이익,2933,3367,2707,1683
희석된 가중 평균 주식,129.4,133.01,134.73,138.4
특별손익항목 제외 희석주당순이익,22.67,25.31,20.09,12.44
주당배당금 - 발행 보통주,2.8,3.05,2.15,1.9
희석 정상주당순이익,22.67,25.31,20.09,17.15
