마감 기준:,"2021
31/12","2020
31/12","2019
31/12","2018
31/12"
총매출,7836.2,7024.5,7982.2,7932.9
매출,7836.2,7024.5,7982.2,7932.9
기타 매출 총계,-,-,-,-
총매출원가,2341,2128.3,2252.6,2245.7
총 이익,5495.2,4896.2,5729.6,5687.2
총 영업비용,7221.2,7112.3,6844.7,7899.1
판매/일반/관리 비용 총계,3323.9,3177.8,3343.8,3379.3
연구 및 개발,497.2,372,449.3,391.7
감가상각/무형자산상각,615.7,597.6,584.3,595.9
영업이자비용(수익) 순계,-,-,-38.4,26.2
특별비용(수익),443.4,836.6,214.7,1260.3
기타 영업비용 총계,-,-,-,-
영업 이익,615,-87.8,1137.5,33.8
영업외이자수익(비용) 순계,-208.4,-212,-237.9,-264.6
자산처분이익(손실),-,-,-,-
기타비용 순계,11.8,25.4,6.2,-40.3
세전당기순이익,418.4,-274.4,905.8,-271.1
소득세충당금,-13.8,-132,89.3,99.9
세후당기순이익,432.2,-142.4,816.5,-371
소액주주지분,-0.5,-1.5,0.1,0.1
관계회사 주식,-,-,-,-
미국 일반회계기준에 따른 조정,-,-,-,-
특별손익항목 차감전 당기순이익,431.7,-143.9,816.6,-370.9
특별손익항목 총계,-30.1,5,315,-8.3
순이익,401.6,-138.9,1131.6,-379.2
당기순이익에 대한 조정 총계,-,-,-,-
특별손익항목 제외 보통주주 분배 가능 이익,431.7,-143.9,816.6,-370.9
희석화에 따른 조정,-,-,-,-
희석 당기순이익,401.6,-138.9,1131.6,-379.2
희석된 가중 평균 주식,210.4,207,206.7,203.5
특별손익항목 제외 희석주당순이익,2.05,-0.7,3.95,-1.82
주당배당금 - 발행 보통주,0.96,0.96,0.96,0.96
희석 정상주당순이익,4.2,2.59,5.72,2.8
