마감 기준:,"2021
31/12","2020
31/12","2019
31/12","2018
31/12"
총매출,26122,17927,21128,17771
매출,26122,17927,21128,17771
기타 매출 총계,-,-,-,-
총매출원가,9172,7911,7996,6568
총 이익,16950,10016,13132,11203
총 영업비용,21748,30489,20936,13268
판매/일반/관리 비용 총계,2355,2043,2124,2052
연구 및 개발,252,132,247,110
감가상각/무형자산상각,8447,8097,6140,3977
영업이자비용(수익) 순계,-,-,-,-
특별비용(수익),457,11422,3008,561
기타 영업비용 총계,1065,884,1421,-
영업 이익,4374,-12562,192,4503
영업외이자수익(비용) 순계,-669,-3143,162,774
자산처분이익(손실),-,-,-,-
기타비용 순계,-,-,-,-
세전당기순이익,3705,-15705,354,5277
소득세충당금,915,-2172,861,1502
세후당기순이익,2790,-13533,-507,3775
소액주주지분,-,-,-145,-
관계회사 주식,-,-,373,331
미국 일반회계기준에 따른 조정,-,-,-,-
특별손익항목 차감전 당기순이익,2790,-13533,-652,4106
특별손익항목 총계,-468,-1298,-15,25
순이익,2322,-14831,-667,4131
당기순이익에 대한 조정 총계,-800,-844,-318,-17
특별손익항목 제외 보통주주 분배 가능 이익,1990,-14377,-970,4089
희석화에 따른 조정,-,-,-,-
희석 당기순이익,1522,-15675,-985,4114
희석된 가중 평균 주식,958.8,918.7,809.5,763.3
특별손익항목 제외 희석주당순이익,2.08,-15.65,-1.2,5.36
주당배당금 - 발행 보통주,0.04,0.82,3.14,3.1
희석 정상주당순이익,2.43,-7.57,1.22,5.88
