마감 기준:,"2021
30/09","2020
30/09","2019
30/09","2018
30/09"
총매출,8425.5,5566.5,5669.4,6204.5
매출,8425.5,5566.5,5669.4,6204.5
기타 매출 총계,-,-,-,-
총매출원가,-,-,-,-
총 이익,-,-,-,-
총 영업비용,6550.5,4517.6,4202.5,4176.3
판매/일반/관리 비용 총계,6318.5,4463.6,4187.8,4174.5
연구 및 개발,-,-,-,-
감가상각/무형자산상각,232,54,14.7,1.8
영업이자비용(수익) 순계,-,-,-,-
특별비용(수익),-,-,-,1.7
기타 영업비용 총계,-,-,-,-
영업 이익,1875,1048.9,1466.9,2028.2
영업외이자수익(비용) 순계,563.4,-37.2,177.4,191.9
자산처분이익(손실),-,-,-,-
기타비용 순계,5.8,6.2,3.5,-4.9
세전당기순이익,2444.2,1017.9,1647.8,2215.2
소득세충당금,349.6,230.8,442.3,503.7
세후당기순이익,2094.6,787.1,1205.5,1711.5
소액주주지분,-263.4,11.8,-9.8,21.7
관계회사 주식,-,-,-,-
미국 일반회계기준에 따른 조정,-,-,-,-
특별손익항목 차감전 당기순이익,1831.2,798.9,1195.7,1733.2
특별손익항목 총계,-,-,-,-968.8
순이익,1831.2,798.9,1195.7,764.4
당기순이익에 대한 조정 총계,-77.7,-15.3,-10.9,-17.6
특별손익항목 제외 보통주주 분배 가능 이익,1753.5,783.6,1184.8,1715.6
희석화에 따른 조정,-,-,-,-
희석 당기순이익,1753.5,783.6,1184.8,746.8
희석된 가중 평균 주식,490.6,492.4,504.3,538
특별손익항목 제외 희석주당순이익,3.57,1.59,2.35,3.19
주당배당금 - 발행 보통주,1.11,1.07,1.01,0.89
희석 정상주당순이익,3.97,2.18,2.58,3.25
