마감 기준:,"2021
31/12","2020
31/12","2019
31/12","2018
31/12"
총매출,6797,2813,3964,2176.26
매출,6797,2813,3964,2176.26
기타 매출 총계,-,-,-,-
총매출원가,1291,865,917,435.63
총 이익,5506,1948,3047,1740.63
총 영업비용,2871,8294,3325,1165.47
판매/일반/관리 비용 총계,146,88,104,64.55
연구 및 개발,-,-,-,-
감가상각/무형자산상각,1275,1304,1447,623.04
영업이자비용(수익) 순계,-,-,-,-
특별비용(수익),153,6026,846,36.83
기타 영업비용 총계,6,11,11,5.42
영업 이익,3926,-5481,639,1010.79
영업외이자수익(비용) 순계,-1002,-297,-275,13.47
자산처분이익(손실),-,-,-,-
기타비용 순계,-17,2,-2,89
세전당기순이익,2907,-5776,362,1113.26
소득세충당금,631,-925,47,168.36
세후당기순이익,2276,-4851,315,944.89
소액주주지분,-94,155,-75,-99.22
관계회사 주식,-,-,-,-
미국 일반회계기준에 따른 조정,-,-,-,-
특별손익항목 차감전 당기순이익,2182,-4696,240,845.67
특별손익항목 총계,-,179,-,-
순이익,2182,-4517,240,845.67
당기순이익에 대한 조정 총계,-,-,-,-
특별손익항목 제외 보통주주 분배 가능 이익,2182,-4696,240,845.67
희석화에 따른 조정,-,-,-,-
희석 당기순이익,2182,-4517,240,845.67
희석된 가중 평균 주식,177.36,157.98,163.84,104.93
특별손익항목 제외 희석주당순이익,12.3,-29.73,1.46,8.06
주당배당금 - 발행 보통주,1.75,1.5,0.94,0.38
희석 정상주당순이익,12.98,-4.93,5.96,8.36
