마감 기준:,"2021
03/12","2020
27/11","2019
29/11","2018
30/11"
총매출,15785,12868,11171.3,9030.01
매출,15785,12868,11171.3,9030.01
기타 매출 총계,-,-,-,-
총매출원가,1865,1722,1672.72,1195
총 이익,13920,11146,9498.58,7835.01
총 영업비용,9983,8631,7903.18,6189.64
판매/일반/관리 비용 총계,5194,4373,3954.08,3365.73
연구 및 개발,2540,2188,1930.23,1537.81
감가상각/무형자산상각,172,162,175.24,91.1
영업이자비용(수익) 순계,-,-,-,-
특별비용(수익),212,186,170.9,-
기타 영업비용 총계,-,-,-,-
영업 이익,5802,4237,3268.12,2840.37
영업외이자수익(비용) 순계,-97,-61,-83.73,-86.4
자산처분이익(손실),-,-,-,-
기타비용 순계,-,42,20.35,39.91
세전당기순이익,5705,4176,3204.74,2793.88
소득세충당금,883,-1084,250.33,17.1
세후당기순이익,4822,5260,2954.41,2776.77
소액주주지분,-,-,-,-
관계회사 주식,-,-,-,-
미국 일반회계기준에 따른 조정,-,-,-,-
특별손익항목 차감전 당기순이익,4822,5260,2954.41,2776.77
특별손익항목 총계,-,-,-2.96,-186
순이익,4822,5260,2951.46,2590.77
당기순이익에 대한 조정 총계,-,-,-,-
특별손익항목 제외 보통주주 분배 가능 이익,4822,5260,2954.41,2776.77
희석화에 따른 조정,-,-,-,-
희석 당기순이익,4822,5260,2951.46,2590.77
희석된 가중 평균 주식,481,485,491.57,497.84
특별손익항목 제외 희석주당순이익,10.02,10.85,6.01,5.58
주당배당금 - 발행 보통주,-,-,-,-
희석 정상주당순이익,10.4,11.09,6.33,5.58
