마감 기준:,"2021
31/12","2020
31/12","2019
31/12","2018
31/12"
총매출,19374,16205,14539,14198
매출,19374,16205,14539,14198
기타 매출 총계,-,-,-,-
총매출원가,3513,2898,2663,2673
총 이익,15861,13307,11876,11525
총 영업비용,11924,10510,8988,8741
판매/일반/관리 비용 총계,7990,6751,6228,5958
연구 및 개발,-,-,-,-
감가상각/무형자산상각,147,106,97,50
영업이자비용(수익) 순계,-,-,-,-
특별비용(수익),274,755,-,60
기타 영업비용 총계,-,-,-,-
영업 이익,7450,5695,5551,5457
영업외이자수익(비용) 순계,723,829,236,-79
자산처분이익(손실),-,-,-,-
기타비용 순계,-,-,-,-
세전당기순이익,8173,6524,5787,5378
소득세충당금,1968,1238,1261,1076
세후당기순이익,6205,5286,4526,4302
소액주주지분,-304,-354,-50,3
관계회사 주식,-,-,-,-
미국 일반회계기준에 따른 조정,-,-,-,-
특별손익항목 차감전 당기순이익,5901,4932,4476,4305
특별손익항목 총계,-,-,-,-
순이익,5901,4932,4476,4305
당기순이익에 대한 조정 총계,-,-,-,-
특별손익항목 제외 보통주주 분배 가능 이익,5901,4932,4476,4305
희석화에 따른 조정,-,-,-,-
희석 당기순이익,5901,4932,4476,4305
희석된 가중 평균 주식,154.4,154.84,157.46,161.95
특별손익항목 제외 희석주당순이익,38.22,31.85,28.43,26.58
주당배당금 - 발행 보통주,16.52,14.52,13.2,12.02
희석 정상주당순이익,39.57,35.8,28.43,26.85
