마감 기준:,"2021
31/12","2020
31/12","2019
31/12","2018
31/12"
총매출,1963.87,1459.27,1425.66,937.24
매출,1963.87,1459.27,1425.66,937.24
기타 매출 총계,-,-,-,-
총매출원가,1334.55,997.91,946.32,618
총 이익,629.32,461.36,479.34,319.24
총 영업비용,1756.73,1316.71,1235.71,797.82
판매/일반/관리 비용 총계,201.2,159.1,155.81,97.57
연구 및 개발,219.63,163.12,121.35,82.25
감가상각/무형자산상각,-,-,-,-
영업이자비용(수익) 순계,-,-,-,-
특별비용(수익),2.21,-3.43,-,-
기타 영업비용 총계,-0.86,-3.43,12.23,-
영업 이익,207.14,142.56,189.95,139.42
영업외이자수익(비용) 순계,-17.01,24.29,-11.22,-2.3
자산처분이익(손실),-,-,-,-
기타비용 순계,-2.9,-3.19,-0.12,-0.43
세전당기순이익,187.22,163.67,178.6,137.12
소득세충당금,18.05,23.34,34.89,10.37
세후당기순이익,169.17,140.32,143.71,126.75
소액주주지분,-,-,1.59,0.79
관계회사 주식,-,-,-,-
미국 일반회계기준에 따른 조정,-,-,-,-
특별손익항목 차감전 당기순이익,169.17,140.32,145.3,127.54
특별손익항목 총계,-,-,1.25,1.3
순이익,169.17,140.32,146.55,128.83
당기순이익에 대한 조정 총계,-,-,-,-
특별손익항목 제외 보통주주 분배 가능 이익,169.17,140.32,145.3,127.54
희석화에 따른 조정,2.13,-,-,-
희석 당기순이익,171.3,140.32,146.55,128.83
희석된 가중 평균 주식,55.97,52.8,50.2,47.98
특별손익항목 제외 희석주당순이익,3.06,2.66,2.89,2.66
주당배당금 - 발행 보통주,-,-,-,-
희석 정상주당순이익,3.1,2.6,2.89,2.66
