마감 기준:,"2021
31/12","2020
31/12","2019
31/12","2018
31/12"
총매출,1290.77,1241.16,1152.19,1046.86
매출,1290.77,1241.16,1152.19,1046.86
기타 매출 총계,-,-,-,-
총매출원가,447.78,410.03,356.06,332.06
총 이익,842.99,831.13,796.14,714.8
총 영업비용,1065.13,1041.25,931.14,692.14
판매/일반/관리 비용 총계,65.84,57.78,58.03,53.68
연구 및 개발,-,-,-,-
감가상각/무형자산상각,619.83,618.63,507.92,435.68
영업이자비용(수익) 순계,-,-,-,-
특별비용(수익),-89.97,-67.96,-4.81,-134.08
기타 영업비용 총계,21.65,22.76,13.93,4.8
영업 이익,225.63,199.91,221.06,354.72
영업외이자수익(비용) 순계,-63.2,-128.4,-17.64,-132.49
자산처분이익(손실),-,-,-,-
기타비용 순계,-,-,-,-
세전당기순이익,162.43,71.52,203.42,222.23
소득세충당금,1.44,2.54,3.84,0.69
세후당기순이익,160.99,68.97,199.58,221.54
소액주주지분,-10.98,-4.7,-14.61,-18.44
관계회사 주식,-,-,-,-
미국 일반회계기준에 따른 조정,-,-,-,-
특별손익항목 차감전 당기순이익,150.02,64.27,184.97,203.11
특별손익항목 총계,-,-,-,-
순이익,150.02,64.27,184.97,203.11
당기순이익에 대한 조정 총계,-4.23,-4.23,-4.1,-3.87
특별손익항목 제외 보통주주 분배 가능 이익,145.79,60.04,180.86,199.24
희석화에 따른 조정,-,-,-,-
희석 당기순이익,145.79,60.04,180.86,199.24
희석된 가중 평균 주식,301.7,294.93,286.01,269.48
특별손익항목 제외 희석주당순이익,0.48,0.2,0.63,0.74
주당배당금 - 발행 보통주,1.45,1.42,1.35,1.28
희석 정상주당순이익,0.21,0.01,0.62,0.24
