마감 기준:,"2021
31/12","2020
31/12","2019
31/12","2018
31/12"
총매출,8537,5655,6297,7155
매출,8537,5655,6297,7155
기타 매출 총계,-,-,-,-
총매출원가,5855,4362,4691,5183
총 이익,2682,1293,1606,1972
총 영업비용,6591,3583,5463,5821
판매/일반/관리 비용 총계,633,482,483,546
연구 및 개발,86,74,67,72
감가상각/무형자산상각,25,22,24,24
영업이자비용(수익) 순계,-2,5,-7,-
특별비용(수익),-6,-1361,205,-4
기타 영업비용 총계,-,-1,114,-9
영업 이익,1946,2072,834,1334
영업외이자수익(비용) 순계,201,157,182,230
자산처분이익(손실),-,-,-,-
기타비용 순계,101,22,-28,-54
세전당기순이익,2248,2251,988,1510
소득세충당금,330,247,124,299
세후당기순이익,1918,2004,864,1211
소액주주지분,-6,-7,-6,-6
관계회사 주식,-,-,-,-
미국 일반회계기준에 따른 조정,-,-,-,-
특별손익항목 차감전 당기순이익,1912,1997,858,1205
특별손익항목 총계,-22,-12,-6,2
순이익,1890,1985,852,1207
당기순이익에 대한 조정 총계,-,-,-,-
특별손익항목 제외 보통주주 분배 가능 이익,1912,1997,858,1205
희석화에 따른 조정,-,-,-,-
희석 당기순이익,1890,1985,852,1207
희석된 가중 평균 주식,112.08,118.48,124.65,135.42
특별손익항목 제외 희석주당순이익,17.06,16.85,6.88,8.9
주당배당금 - 발행 보통주,2.72,2.48,2.4,2.08
희석 정상주당순이익,17.01,6.63,8.32,8.87
