마감 기준:,"2021
26/09","2020
27/09","2019
29/09","2018
30/09"
총매출,33566,21731,19573,22611
매출,33566,21731,19573,22611
기타 매출 총계,-,-,-,-
총매출원가,14262,9255,8599,10244
총 이익,19304,12476,10974,12367
총 영업비용,23810,15881,12041,22065
판매/일반/관리 비용 총계,2339,2074,2195,2986
연구 및 개발,7176,5975,5398,5625
감가상각/무형자산상각,-,-,-,-
영업이자비용(수익) 순계,-,-,-,-
특별비용(수익),33,-1423,-4151,3228
기타 영업비용 총계,-,-,-,-18
영업 이익,9756,5850,7532,546
영업외이자수익(비용) 순계,518,-131,-51,-154
자산처분이익(손실),-,-,-,-
기타비용 순계,-,-,-,-
세전당기순이익,10274,5719,7481,392
소득세충당금,1231,521,3095,4913
세후당기순이익,9043,5198,4386,-4521
소액주주지분,-,-,-,-
관계회사 주식,-,-,-,-
미국 일반회계기준에 따른 조정,-,-,-,-
특별손익항목 차감전 당기순이익,9043,5198,4386,-4521
특별손익항목 총계,-,-,-,-443
순이익,9043,5198,4386,-4964
당기순이익에 대한 조정 총계,-,-,-,-
특별손익항목 제외 보통주주 분배 가능 이익,9043,5198,4386,-4521
희석화에 따른 조정,-,-,-,-
희석 당기순이익,9043,5198,4386,-4964
희석된 가중 평균 주식,1149,1149,1220,1463
특별손익항목 제외 희석주당순이익,7.87,4.52,3.6,-3.09
주당배당금 - 발행 보통주,2.66,2.57,2.48,2.43
희석 정상주당순이익,7.9,3.4,1.6,-1.66
