마감 기준:,"2021
31/12","2020
31/12","2019
31/12","2018
31/12"
총매출,1207.8,844.45,627.92,582.38
매출,1207.8,844.45,627.92,582.38
기타 매출 총계,-,-,-,-
총매출원가,522.34,378.5,281.6,259.71
총 이익,685.46,465.95,346.32,322.67
총 영업비용,945.38,685.57,525.36,468.89
판매/일반/관리 비용 총계,226.19,161.67,133.54,113.8
연구 및 개발,190.63,137.6,107.76,93.45
감가상각/무형자산상각,-,-,-,-
영업이자비용(수익) 순계,-,-,-,-
특별비용(수익),6.22,7.8,2.46,1.92
기타 영업비용 총계,-,-,-,-
영업 이익,262.42,158.88,102.56,113.49
영업외이자수익(비용) 순계,10.91,7.96,7,7.27
자산처분이익(손실),-,-,0.7,-
기타비용 순계,-1.11,2.5,2.86,-2.28
세전당기순이익,272.22,169.34,113.12,118.48
소득세충당금,30.2,4.97,2.28,11.91
세후당기순이익,242.02,164.38,110.84,106.57
소액주주지분,-,-,-,-
관계회사 주식,-,-,-,-
미국 일반회계기준에 따른 조정,-,-,-,-
특별손익항목 차감전 당기순이익,242.02,164.38,110.84,106.57
특별손익항목 총계,-,-,-2,-1.3
순이익,242.02,164.38,108.84,105.27
당기순이익에 대한 조정 총계,-,-,-,-
특별손익항목 제외 보통주주 분배 가능 이익,242.02,164.38,110.84,106.57
희석화에 따른 조정,-,-,-,-
희석 당기순이익,242.02,164.38,108.84,105.27
희석된 가중 평균 주식,47.89,47.01,45.76,44.6
특별손익항목 제외 희석주당순이익,5.05,3.5,2.42,2.39
주당배당금 - 발행 보통주,2.3,1.9,1.5,1.1
희석 정상주당순이익,5.17,3.66,2.46,2.43
