마감 기준:,"2021
31/12","2020
31/12","2019
31/12","2018
31/12"
총매출,11141,9660,10189,10736
매출,11141,9660,10189,10736
기타 매출 총계,-,-,-,-
총매출원가,8430,6967,7840,8163
총 이익,2711,2693,2349,2573
총 영업비용,11582,8255,8297,7753
판매/일반/관리 비용 총계,166,165,196,192
연구 및 개발,-,-,-,-
감가상각/무형자산상각,-,-,-,-
영업이자비용(수익) 순계,1683,95,-28,-984
특별비용(수익),1658,1026,294,390
기타 영업비용 총계,-355,2,-5,-8
영업 이익,-441,1405,1892,2983
영업외이자수익(비용) 순계,-623,-715,-799,-818
자산처분이익(손실),-,-,-,-
기타비용 순계,-,-202,-92,-147
세전당기순이익,-1064,488,1001,2018
소득세충당금,-133,216,352,670
세후당기순이익,-931,272,649,1348
소액주주지분,542,-106,-175,-364
관계회사 주식,-24,-123,-172,39
미국 일반회계기준에 따른 조정,-,-,-,-
특별손익항목 차감전 당기순이익,-413,43,302,1023
특별손익항목 총계,4,3,1,180
순이익,-409,46,303,1203
당기순이익에 대한 조정 총계,-,-,-,-
특별손익항목 제외 보통주주 분배 가능 이익,-413,43,302,1023
희석화에 따른 조정,-,-,-,-
희석 당기순이익,-409,46,303,1203
희석된 가중 평균 주식,666,668,667,665
특별손익항목 제외 희석주당순이익,-0.62,0.06,0.45,1.54
주당배당금 - 발행 보통주,0.6,0.57,0.55,0.52
희석 정상주당순이익,1,0.92,0.74,1.93
