마감 기준:,"2021
31/12","2020
31/12","2019
31/12","2018
31/12"
총매출,19944.6,18361.7,17900.8,17534.49
매출,19944.6,18361.7,17900.8,17534.49
기타 매출 총계,-,-,-,-
총매출원가,11401.9,9679.1,9864.7,10115.93
총 이익,8542.7,8682.6,8036.1,7418.56
총 영업비용,17714.1,15858.5,15949.5,16192.37
판매/일반/관리 비용 총계,5572.5,5477.9,5274.9,5033.78
연구 및 개발,-,-,-,-
감가상각/무형자산상각,309.5,313.4,312.8,318.11
영업이자비용(수익) 순계,329.8,336.8,323.4,361.45
특별비용(수익),104.4,14.2,150.7,186.81
기타 영업비용 총계,-4,37.1,23,176.3
영업 이익,2230.5,2503.2,1951.3,1342.12
영업외이자수익(비용) 순계,8.1,-1.2,-18.4,-12.91
자산처분이익(손실),-,-,-,-
기타비용 순계,10,17.2,48.9,30.45
세전당기순이익,2248.6,2519.2,1981.8,1359.65
소득세충당금,384.2,488.8,440.5,259.49
세후당기순이익,1864.4,2030.4,1541.3,1100.16
소액주주지분,-,-,-,-
관계회사 주식,-,-,-,-
미국 일반회계기준에 따른 조정,-,-,-,-
특별손익항목 차감전 당기순이익,1864.4,2030.4,1541.3,1100.16
특별손익항목 총계,-,-,-,8.59
순이익,1864.4,2030.4,1541.3,1108.75
당기순이익에 대한 조정 총계,-,-,-,-
특별손익항목 제외 보통주주 분배 가능 이익,1864.4,2030.4,1541.3,1100.16
희석화에 따른 조정,-,-,-,-
희석 당기순이익,1864.4,2030.4,1541.3,1108.75
희석된 가중 평균 주식,267.1,275.83,280.34,94.99
특별손익항목 제외 희석주당순이익,6.98,7.36,5.5,11.58
주당배당금 - 발행 보통주,2.2,1.79,1.51,3.44
희석 정상주당순이익,7.3,7.4,5.92,14.52
