마감 기준:,"2021
31/12","2020
31/12","2019
31/12","2018
31/12"
총매출,5541.35,4598.64,4200.82,3807.18
매출,5541.35,4598.64,4200.82,3807.18
기타 매출 총계,-,-,-,-
총매출원가,2432.84,1944.66,1745.63,1568.91
총 이익,3108.51,2653.98,2455.18,2238.28
총 영업비용,3743.89,2965.49,2797.88,2523.56
판매/일반/관리 비용 총계,774.51,589.64,625.04,531.3
연구 및 개발,-,-,-,-
감가상각/무형자산상각,0.55,0.63,0.44,-
영업이자비용(수익) 순계,-,-,-,-
특별비용(수익),5.3,8.9,11.3,26.6
기타 영업비용 총계,530.69,421.66,415.46,396.76
영업 이익,1797.47,1633.15,1402.94,1283.62
영업외이자수익(비용) 순계,3.95,-7,13.02,9.65
자산처분이익(손실),-,-,-,-
기타비용 순계,-,-,-,-
세전당기순이익,1801.42,1626.16,1415.96,1293.27
소득세충당금,423.94,216.56,308.13,298.47
세후당기순이익,1377.47,1409.59,1107.84,994.8
소액주주지분,-,-,-,-
관계회사 주식,-,-,-,-
미국 일반회계기준에 따른 조정,-,-,-,-
특별손익항목 차감전 당기순이익,1377.47,1409.59,1107.84,994.8
특별손익항목 총계,-,-,-,-1.8
순이익,1377.47,1409.59,1107.84,993
당기순이익에 대한 조정 총계,-,-,-,-
특별손익항목 제외 보통주주 분배 가능 이익,1377.47,1409.59,1107.84,994.8
희석화에 따른 조정,-,-,-,-
희석 당기순이익,1377.47,1409.59,1107.84,993
희석된 가중 평균 주식,535.64,534.81,546.61,564.25
특별손익항목 제외 희석주당순이익,2.57,2.64,2.03,1.76
주당배당금 - 발행 보통주,-,-,-,-
희석 정상주당순이익,2.58,2.65,2.04,1.8
