마감 기준:,"2021
31/12","2020
31/12","2019
31/12","2018
31/12"
총매출,30793,27243,28228,14836
매출,30793,27243,28228,14836
기타 매출 총계,-,-,-,-
총매출원가,17543,15383,16644,9020
총 이익,13250,11860,11584,5816
총 영업비용,25809,23921,25295,9589
판매/일반/관리 비용 총계,3189,3193,3457,1629
연구 및 개발,143,152,184,113
감가상각/무형자산상각,4635,4626,4675,1830
영업이자비용(수익) 순계,29,28,-54,-1
특별비용(수익),296,579,392,-2992
기타 영업비용 총계,-26,-40,-3,-10
영업 이익,4984,3322,2933,5247
영업외이자수익(비용) 순계,-130,-200,-134,-222
자산처분이익(손실),-,-,-,-
기타비용 순계,245,262,128,24
세전당기순이익,5099,3384,2927,5049
소득세충당금,1262,847,769,507
세후당기순이익,3837,2537,2158,4542
소액주주지분,-135,-125,-89,-15
관계회사 주식,119,85,114,56
미국 일반회계기준에 따른 조정,-,-,-,-
특별손익항목 차감전 당기순이익,3821,2497,2183,4583
특별손익항목 총계,5,4,102,-202
순이익,3826,2501,2285,4381
당기순이익에 대한 조정 총계,-,-,-,-
특별손익항목 제외 보통주주 분배 가능 이익,3821,2497,2183,4583
희석화에 따른 조정,-,-,-,-
희석 당기순이익,3826,2501,2285,4381
희석된 가중 평균 주식,521.88,531.16,545.17,334.13
특별손익항목 제외 희석주당순이익,7.32,4.7,4,13.72
주당배당금 - 발행 보통주,4.24,3.85,3.5,3.3
희석 정상주당순이익,8.12,5.94,4.8,5.66
