마감 기준:,"2021
31/12","2020
31/12","2019
31/12","2018
31/12"
총매출,62286,58656,84818,101127
매출,62286,58656,84818,101127
기타 매출 총계,-,-,-,-
총매출원가,59269,63843,72093,81490
총 이익,3017,-5187,12725,19637
총 영업비용,65188,71423,86793,89140
판매/일반/관리 비용 총계,4157,4817,3909,4567
연구 및 개발,2249,2476,3219,3269
감가상각/무형자산상각,-,-,-,-
영업이자비용(수익) 순계,-210,-9,4,-111
특별비용(수익),-277,296,7568,-75
기타 영업비용 총계,-,-,-,-
영업 이익,-2902,-12767,-1975,11987
영업외이자수익(비용) 순계,-2682,-2156,-722,-474
자산처분이익(손실),-,-,-,-
기타비용 순계,551,447,438,91
세전당기순이익,-5033,-14476,-2259,11604
소득세충당금,-743,-2535,-1623,1144
세후당기순이익,-4290,-11941,-636,10460
소액주주지분,88,68,-,-
관계회사 주식,-,-,-,-
미국 일반회계기준에 따른 조정,-,-,-,-
특별손익항목 차감전 당기순이익,-4202,-11873,-636,10460
특별손익항목 총계,-,-,-,-
순이익,-4202,-11873,-636,10460
당기순이익에 대한 조정 총계,-,-,-,-7
특별손익항목 제외 보통주주 분배 가능 이익,-4202,-11873,-636,10453
희석화에 따른 조정,-,-,-,-
희석 당기순이익,-4202,-11873,-636,10453
희석된 가중 평균 주식,587.6,568.6,566,585.5
특별손익항목 제외 희석주당순이익,-7.15,-20.88,-1.12,17.85
주당배당금 - 발행 보통주,-,2.06,8.22,6.84
희석 정상주당순이익,-5.07,-13.69,8.32,17.74
