마감 기준:,"2021
25/09","2020
26/09","2019
28/09","2018
29/09"
총매출,5632.3,3776.4,3367.3,3217.9
매출,5632.3,3776.4,3367.3,3217.9
기타 매출 총계,-,-,-,-
총매출원가,1836.5,1523.1,1617.7,1521.2
총 이익,3795.8,2253.3,1749.6,1696.7
총 영업비용,3173.6,2671.4,3491.9,3501.7
판매/일반/관리 비용 총계,994.4,840.6,897.2,910.7
연구 및 개발,276.3,222.5,232.2,218.7
감가상각/무형자산상각,42.2,39.7,52,59.3
영업이자비용(수익) 순계,-6.7,-,-,-
특별비용(수익),30.9,45.5,692.8,791.8
기타 영업비용 총계,-,-,-,-
영업 이익,2458.7,1105,-124.6,-283.8
영업외이자수익(비용) 순계,-92.2,-112.2,-127.3,-142.4
자산처분이익(손실),-,-,-,-
기타비용 순계,-5.4,9.1,-5.8,7.6
세전당기순이익,2361.1,1001.9,-257.7,-418.6
소득세충당금,491.4,-108.6,-59.1,38.9
세후당기순이익,1869.7,1110.5,-198.6,-457.5
소액주주지분,1.8,4.7,-,-
관계회사 주식,-,-,-,-
미국 일반회계기준에 따른 조정,-,-,-,-
특별손익항목 차감전 당기순이익,1871.5,1115.2,-198.6,-457.5
특별손익항목 총계,-,-,-5,346.2
순이익,1871.5,1115.2,-203.6,-111.3
당기순이익에 대한 조정 총계,-,-,-,-
특별손익항목 제외 보통주주 분배 가능 이익,1871.5,1115.2,-198.6,-457.5
희석화에 따른 조정,-,-,-,-
희석 당기순이익,1871.5,1115.2,-203.6,-111.3
희석된 가중 평균 주식,259.71,264.61,269.41,275.11
특별손익항목 제외 희석주당순이익,7.21,4.21,-0.74,-1.66
주당배당금 - 발행 보통주,-,-,-,-
희석 정상주당순이익,7.3,4.33,0.93,0.21
