마감 기준:,"2021
30/06","2020
30/06","2019
30/06","2018
30/06"
총매출,14347.64,13695.52,14320.32,14302.39
매출,14347.64,13695.52,14320.32,14302.39
기타 매출 총계,-,-,-,-
총매출원가,10415.93,10233.5,10674.32,10717.89
총 이익,3931.71,3462.02,3646,3584.5
총 영업비용,11978.21,11948.89,12370.85,12600.11
판매/일반/관리 비용 총계,1514.41,1520.57,1530.76,1620.34
연구 및 개발,-,-,-,-
감가상각/무형자산상각,-,-,-,-
영업이자비용(수익) 순계,202.04,202.16,190.14,278.17
특별비용(수익),47.86,194.83,36.88,125.91
기타 영업비용 총계,-18,-10.11,-61.25,-142.2
영업 이익,2369.43,1746.63,1949.47,1702.28
영업외이자수익(비용) 순계,-202.04,-202.16,-,-
자산처분이익(손실),110.56,1.28,-,-
기타비용 순계,-31,-38.89,-,-
세전당기순이익,2246.96,1506.85,1949.47,1702.28
소득세충당금,500.1,304.52,409.91,263.96
세후당기순이익,1746.86,1202.33,1539.57,1438.32
소액주주지분,-0.76,-0.36,-0.57,-0.51
관계회사 주식,-,-,-,-
미국 일반회계기준에 따른 조정,-,-,-,-
특별손익항목 차감전 당기순이익,1746.1,1201.97,1539,1437.8
특별손익항목 총계,-,-,-14.48,-377
순이익,1746.1,1201.97,1524.52,1060.8
당기순이익에 대한 조정 총계,-,-,-,-
특별손익항목 제외 보통주주 분배 가능 이익,1746.1,1201.97,1539,1437.8
희석화에 따른 조정,-,-,-,-
희석 당기순이익,1746.1,1201.97,1524.52,1060.8
희석된 가중 평균 주식,130.83,129.81,131.78,135.43
특별손익항목 제외 희석주당순이익,13.35,9.26,11.68,10.62
주당배당금 - 발행 보통주,3.67,3.52,3.16,2.74
희석 정상주당순이익,12.97,10.45,11.9,11.4
