마감 기준:,"2021
31/12","2020
31/12","2019
31/12","2018
31/12"
총매출,16653,14338,21512,22594
매출,16653,14338,21512,22594
기타 매출 총계,-,-,-,-
총매출원가,10803,9508,14056,15302
총 이익,5850,4830,7456,7292
총 영업비용,14057,16102,21578,22436
판매/일반/관리 비용 총계,1855,1701,2663,3028
연구 및 개발,618,625,955,1070
감가상각/무형자산상각,725,696,1050,1044
영업이자비용(수익) 순계,-,-,-,-
특별비용(수익),60,3604,2831,2075
기타 영업비용 총계,-4,-32,23,-83
영업 이익,2596,-1764,-66,158
영업외이자수익(비용) 순계,-480,-512,-639,338
자산처분이익(손실),28,-,157,8
기타비용 순계,52,30,74,96
세전당기순이익,2196,-2246,-474,600
소득세충당금,392,160,205,254
세후당기순이익,1804,-2406,-679,346
소액주주지분,-48,-28,-30,-39
관계회사 주식,-,-,-,-
미국 일반회계기준에 따른 조정,-,-,-,-
특별손익항목 차감전 당기순이익,1756,-2434,-709,307
특별손익항목 총계,4711,-517,1207,3538
순이익,6467,-2951,498,3845
당기순이익에 대한 조정 총계,-,-,-1,-17
특별손익항목 제외 보통주주 분배 가능 이익,1756,-2434,-710,290
희석화에 따른 조정,-,-,-,17
희석 당기순이익,6467,-2951,497,3828
희석된 가중 평균 주식,544.2,735.5,746.3,771.8
특별손익항목 제외 희석주당순이익,3.23,-3.31,-0.95,0.38
주당배당금 - 발행 보통주,1.2,1.2,2.16,4.56
희석 정상주당순이익,3.28,-0.12,1.38,1.92
