마감 기준:,"2021
31/12","2020
31/12","2019
31/12","2018
31/12"
총매출,287597,257141,242155,226247
총 프리미엄이익,285273,255639,240269,224871
순 투자이익,2324,1502,1886,1376
미실현이익 (손실),-,-,-,-
기타 매출 총계,-,-,-,-
총 영업비용,263627,234736,222470,208903
"손익,혜택 및 조정,총",186911,159396,156440,145403
정책획득비용 상환,-,-,-,-
판매/일반/관리 비용 총계,42579,41704,35193,34074
감가상각/무형자산상각,3103,2891,2720,2428
영업이자비용(수익) 순계,-,-,-,-
특별비용(수익),-,-,-,-
기타 영업비용 총계,31034,30745,28117,26998
영업 이익,23970,22405,19685,17344
영업외이자수익(비용) 순계,-1660,-1663,-1704,-1400
자산처분이익(손실),-,-,-,-
기타비용 순계,-,-,-,-
세전당기순이익,22310,20742,17981,15944
소득세충당금,4578,4973,3742,3562
세후당기순이익,17732,15769,14239,12382
소액주주지분,-447,-366,-400,-396
관계회사 주식,-,-,-,-
미국 일반회계기준에 따른 조정,-,-,-,-
특별손익항목 차감전 당기순이익,17285,15403,13839,11986
특별손익항목 총계,-,-,-,-
순이익,17285,15403,13839,11986
당기순이익에 대한 조정 총계,-,-,-,-
특별손익항목 제외 보통주주 분배 가능 이익,17285,15403,13839,11986
희석화에 따른 조정,-,-,-,-
희석 당기순이익,17285,15403,13839,11986
희석된 가중 평균 주식,956,961,966,983
특별손익항목 제외 희석주당순이익,18.08,16.03,14.33,12.19
주당배당금 - 발행 보통주,5.6,4.83,4.14,3.45
희석 정상주당순이익,18.08,16.03,14.33,12.19
