마감 기준:,"2021
31/12","2020
31/12","2019
31/12","2018
31/12"
총매출,35667,36799,33841,30095
매출,35667,36799,33841,30095
기타 매출 총계,-,-,-,-
총매출원가,28399,29321,26582,23304
총 이익,7268,7478,7259,6791
총 영업비용,30070,32734,29872,26315
판매/일반/관리 비용 총계,2497,2313,2337,2247
연구 및 개발,1100,1100,953,764
감가상각/무형자산상각,-,-,-,-
영업이자비용(수익) 순계,-,-,-,-
특별비용(수익),-1926,-,-,-
기타 영업비용 총계,-,-,-,-
영업 이익,5597,4065,3969,3780
영업외이자수익(비용) 순계,-556,-593,-528,-562
자산처분이익(손실),-,-,-,-
기타비용 순계,3897,256,-893,524
세전당기순이익,8938,3728,2548,3742
소득세충당금,1933,539,300,597
세후당기순이익,7005,3189,2248,3145
소액주주지분,-,-,-,-
관계회사 주식,-,-,-,-
미국 일반회계기준에 따른 조정,-,-,-,-
특별손익항목 차감전 당기순이익,7005,3189,2248,3145
특별손익항목 총계,-,-,-,84
순이익,7005,3189,2248,3229
당기순이익에 대한 조정 총계,-,-,-,-
특별손익항목 제외 보통주주 분배 가능 이익,7005,3189,2248,3145
희석화에 따른 조정,-,-,-,-
희석 당기순이익,7005,3189,2248,3229
희석된 가중 평균 주식,160.9,167.6,170,174.6
특별손익항목 제외 희석주당순이익,43.54,19.03,13.22,18.01
주당배당금 - 발행 보통주,6.16,5.67,5.16,4.7
희석 정상주당순이익,34.31,19.03,13.22,18.01
