마감 기준:,"2021
31/12","2020
31/12","2019
31/12","2018
31/12"
총매출,2424.3,2161.22,2015.48,1821.57
매출,2424.3,2161.22,2015.48,1821.57
기타 매출 총계,-,-,-,-
총매출원가,1162.62,1048.59,993.59,894.44
총 이익,1261.68,1112.63,1021.88,927.13
총 영업비용,1984.31,1799.82,1747.98,1511.93
판매/일반/관리 비용 총계,727.49,662.9,623.38,550.7
연구 및 개발,-,-,-,-
감가상각/무형자산상각,94.2,88.33,81.11,66.79
영업이자비용(수익) 순계,-,-,-,-
특별비용(수익),-,-,49.9,-
기타 영업비용 총계,-,-,-,-
영업 이익,439.99,361.4,267.5,309.64
영업외이자수익(비용) 순계,-0.83,-5.08,-6.92,0.22
자산처분이익(손실),31.5,-1.6,0.58,0.88
기타비용 순계,4.18,-,-,-
세전당기순이익,474.84,354.72,261.16,310.73
소득세충당금,124.15,93.9,58.66,77.84
세후당기순이익,350.69,260.82,202.5,232.9
소액주주지분,-,-,-,-
관계회사 주식,-,-,-,-
미국 일반회계기준에 따른 조정,-,-,-,-
특별손익항목 차감전 당기순이익,350.69,260.82,202.5,232.9
특별손익항목 총계,-,-,0.84,-1.23
순이익,350.69,260.82,203.35,231.66
당기순이익에 대한 조정 총계,-,-,-,-
특별손익항목 제외 보통주주 분배 가능 이익,350.69,260.82,202.5,232.9
희석화에 따른 조정,-,-,-,-
희석 당기순이익,350.69,260.82,203.35,231.66
희석된 가중 평균 주식,492.05,491.6,491.21,490.93
특별손익항목 제외 희석주당순이익,0.71,0.53,0.41,0.47
주당배당금 - 발행 보통주,0.34,0.24,0.28,0.25
희석 정상주당순이익,0.67,0.53,0.49,0.47
