마감 기준:,"2021
02/07","2020
03/07","2019
28/06","2018
29/06"
총매출,10681,10509,10390,11184
매출,10681,10509,10390,11184
기타 매출 총계,-,-,-,-
총매출원가,7764,7667,7458,7820
총 이익,2917,2842,2932,3364
총 영업비용,9189,9209,8903,9550
판매/일반/관리 비용 총계,502,473,453,562
연구 및 개발,903,973,991,1026
감가상각/무형자산상각,12,14,23,53
영업이자비용(수익) 순계,-,-,-,-
특별비용(수익),8,82,-22,89
기타 영업비용 총계,-,-,-,-
영업 이익,1492,1300,1487,1634
영업외이자수익(비용) 순계,-218,-181,-120,-188
자산처분이익(손실),-,-,-,-
기타비용 순계,74,-87,5,-28
세전당기순이익,1348,1032,1372,1418
소득세충당금,34,28,-640,-288
세후당기순이익,1314,1004,2012,1706
소액주주지분,-,-,-,-
관계회사 주식,-,-,-,-
미국 일반회계기준에 따른 조정,-,-,-,-
특별손익항목 차감전 당기순이익,1314,1004,2012,1706
특별손익항목 총계,-,-,-,-524
순이익,1314,1004,2012,1182
당기순이익에 대한 조정 총계,-,-,-,-
특별손익항목 제외 보통주주 분배 가능 이익,1314,1004,2012,1706
희석화에 따른 조정,-,-,-,-
희석 당기순이익,1314,1004,2012,1182
희석된 가중 평균 주식,245,265,285,292
특별손익항목 제외 희석주당순이익,5.36,3.79,7.06,5.84
주당배당금 - 발행 보통주,2.66,2.58,2.52,2.52
희석 정상주당순이익,5.4,4.09,7.01,6.04
