마감 기준:,"2021
31/08","2020
31/08","2019
31/08","2018
31/08"
총매출,132509,121982,120074,131537
매출,132509,121982,120074,131537
기타 매출 총계,-,-,-,-
총매출원가,104442,95905,91915,100745
총 이익,28067,26077,28159,30792
총 영업비용,130291,121070,115308,125426
판매/일반/관리 비용 총계,23636,21730,22094,23465
연구 및 개발,-,-,-,-
감가상각/무형자산상각,523,384,416,448
영업이자비용(수익) 순계,1156,-302,-164,-208
특별비용(수익),534,3353,1047,976
기타 영업비용 총계,-,-,-,-
영업 이익,2218,912,4766,6111
영업외이자수익(비용) 순계,-499,-602,-495,-595
자산처분이익(손실),-,-,-,-
기타비용 순계,276,136,88,459
세전당기순이익,1995,446,4359,5975
소득세충당금,667,339,577,1123
세후당기순이익,1328,107,3782,4852
소액주주지분,39,42,26,-7
관계회사 주식,627,31,8,54
미국 일반회계기준에 따른 조정,-,-,-,-
특별손익항목 차감전 당기순이익,1994,180,3816,4899
특별손익항목 총계,548,277,166,125
순이익,2542,457,3982,5024
당기순이익에 대한 조정 총계,-,-1,-,-
특별손익항목 제외 보통주주 분배 가능 이익,1994,179,3816,4899
희석화에 따른 조정,-,-,-,0.75
희석 당기순이익,2542,456,3982,5024
희석된 가중 평균 주식,866.4,880.3,923.5,995
특별손익항목 제외 희석주당순이익,2.3,0.2,4.13,4.92
주당배당금 - 발행 보통주,1.87,1.83,1.76,1.6
희석 정상주당순이익,2.71,2.75,5.12,5.72
