마감 기준:,"2021
31/12","2020
31/12","2019
31/12","2018
31/12"
총매출,43075,34608,31904,30578
매출,43075,34608,31904,30578
기타 매출 총계,-,-,-,-
총매출원가,18490,14967,13196,12691
총 이익,24585,19641,18708,17887
총 영업비용,34650,29136,27435,27095
판매/일반/관리 비용 총계,11217,9676,9694,9691
연구 및 개발,2733,2403,2408,2288
감가상각/무형자산상각,2047,2132,1936,2178
영업이자비용(수익) 순계,-,-,-,-
특별비용(수익),163,-42,201,247
기타 영업비용 총계,-,-,-,-
영업 이익,8425,5472,4469,3483
영업외이자수익(비용) 순계,-491,-492,-583,-749
자산처분이익(손실),-,-,-,-
기타비용 순계,277,-12,191,139
세전당기순이익,8211,4968,4077,2873
소득세충당금,1140,471,476,409
세후당기순이익,7071,4497,3601,2464
소액주주지분,-,-,-,-
관계회사 주식,-,-,-,-
미국 일반회계기준에 따른 조정,-,-,-,-
특별손익항목 차감전 당기순이익,7071,4497,3601,2464
특별손익항목 총계,-,-2,86,-96
순이익,7071,4495,3687,2368
당기순이익에 대한 조정 총계,-,-,-,-
특별손익항목 제외 보통주주 분배 가능 이익,7071,4497,3601,2464
희석화에 따른 조정,-,-,-,-
희석 당기순이익,7071,4495,3687,2368
희석된 가중 평균 주식,1789,1786,1781,1770
특별손익항목 제외 희석주당순이익,3.95,2.52,2.02,1.39
주당배당금 - 발행 보통주,1.8,1.44,1.28,1.12
희석 정상주당순이익,4.03,2.5,2.12,1.51
