마감 기준:,"2022
29/01","2021
30/01","2020
01/02","2019
02/02"
총매출,137888,132498,122286,121162
매출,137888,132498,122286,121162
기타 매출 총계,-,-,-,-
총매출원가,106555,100709,95294,94894
총 이익,31333,31789,26992,26268
총 영업비용,134411,129718,119859,116766
판매/일반/관리 비용 총계,24968,26192,22040,21189
연구 및 개발,-,-,-,-
감가상각/무형자산상각,2824,2747,2529,2409
영업이자비용(수익) 순계,-,-,-,-
특별비용(수익),64,70,-4,-1726
기타 영업비용 총계,-,-,-,-
영업 이익,3477,2780,2427,4396
영업외이자수익(비용) 순계,-1392,561,-446,-392
자산처분이익(손실),-,-,-,-
기타비용 순계,-34,29,-,-26
세전당기순이익,2051,3370,1981,3978
소득세충당금,385,782,469,900
세후당기순이익,1666,2588,1512,3078
소액주주지분,-11,-3,147,32
관계회사 주식,-,-,-,-
미국 일반회계기준에 따른 조정,-,-,-,-
특별손익항목 차감전 당기순이익,1655,2585,1659,3110
특별손익항목 총계,-,-,-,-
순이익,1655,2585,1659,3110
당기순이익에 대한 조정 총계,-16,-29,-19,-34
특별손익항목 제외 보통주주 분배 가능 이익,1639,2556,1640,3076
희석화에 따른 조정,-,-,2.2,-
희석 당기순이익,1639,2556,1640,3076
희석된 가중 평균 주식,754,781,805,818
특별손익항목 제외 희석주당순이익,2.17,3.27,2.04,3.76
주당배당금 - 발행 보통주,0.78,0.68,0.6,0.53
희석 정상주당순이익,2.78,3.42,2.03,2.17
