마감 기준:,"2021
31/12","2020
31/12","2019
31/12","2018
31/12"
총매출,4923.9,4127.5,3507.6,3412.1
매출,4923.9,4127.5,3507.6,3412.1
기타 매출 총계,-,-,-,-
총매출원가,1980.9,1737.4,1521.7,1440.4
총 이익,2943,2390.1,1985.9,1971.7
총 영업비용,3785.9,3450.9,3843,2964.1
판매/일반/관리 비용 총계,1316,1290.6,1978.7,1213.3
연구 및 개발,-,-,-,-
감가상각/무형자산상각,480.4,391,331.1,310.4
영업이자비용(수익) 순계,-,-,-,-
특별비용(수익),8.6,31.9,11.5,-
기타 영업비용 총계,-,-,-,-
영업 이익,1138,676.6,-335.4,448
영업외이자수익(비용) 순계,-145.6,-141.6,-111.7,-103.5
자산처분이익(손실),-,-,-,-
기타비용 순계,-43.2,150.2,14.1,11.8
세전당기순이익,949.2,685.2,-433,356.3
소득세충당금,200.7,159,-40.2,50
세후당기순이익,748.5,526.2,-392.8,306.3
소액주주지분,-4.3,-6.1,-6,-6.5
관계회사 주식,-,-,-,-
미국 일반회계기준에 따른 조정,-,-,-,-
특별손익항목 차감전 당기순이익,744.2,520.1,-398.8,299.8
특별손익항목 총계,-,0.1,-,-
순이익,744.2,520.1,-398.8,299.8
당기순이익에 대한 조정 총계,-,-,-,-
특별손익항목 제외 보통주주 분배 가능 이익,744.2,520.1,-398.8,299.8
희석화에 따른 조정,-,-,-,0.06
희석 당기순이익,744.2,520.1,-398.8,299.8
희석된 가중 평균 주식,123.6,122.8,120.9,121.4
특별손익항목 제외 희석주당순이익,6.02,4.24,-3.3,2.47
주당배당금 - 발행 보통주,1.56,1.56,1.56,1.56
희석 정상주당순이익,6.08,4.43,-3.23,2.47
