마감 기준:,"2021
31/12","2020
31/12","2019
31/12","2018
31/12"
총매출,50588,41909,44723,39828
총 프리미엄이익,46211,39232,39631,37452
순 투자이익,3293,1590,3159,3240
미실현이익 (손실),1084,1087,1933,-864
기타 매출 총계,-,-,-,-
총 영업비용,44140,35107,38634,37200
"손익,혜택 및 조정,총",30367,22550,26655,25405
정책획득비용 상환,6252,5477,5533,5222
판매/일반/관리 비용 총계,-,-,-,-
감가상각/무형자산상각,376,118,126,105
영업이자비용(수익) 순계,330,318,327,332
특별비용(수익),221,1201,189,74
기타 영업비용 총계,6594,5443,5804,6062
영업 이익,6448,6802,6089,2628
영업외이자수익(비용) 순계,-,-,-,-
자산처분이익(손실),-,-,-,-
기타비용 순계,-,-,-,-
세전당기순이익,6448,6802,6089,2628
소득세충당금,1289,1373,1242,497
세후당기순이익,5159,5429,4847,2131
소액주주지분,33,-,-,-
관계회사 주식,-,-,-,-
미국 일반회계기준에 따른 조정,-,-,-,-
특별손익항목 차감전 당기순이익,5192,5429,4847,2131
특별손익항목 총계,-3593,147,-,29
순이익,1599,5576,4847,2160
당기순이익에 대한 조정 총계,-114,-115,-169,-148
특별손익항목 제외 보통주주 분배 가능 이익,5078,5314,4678,1983
희석화에 따른 조정,-,-,-,-
희석 당기순이익,1485,5461,4678,2012
희석된 가중 평균 주식,299.1,315.5,333.5,353.2
특별손익항목 제외 희석주당순이익,16.98,16.84,14.03,5.61
주당배당금 - 발행 보통주,2.97,2.12,1.96,1.75
희석 정상주당순이익,17.57,19.88,14.48,5.78
