마감 기준:,"2021
31/12","2020
31/12","2019
31/12","2018
31/12"
총매출,6304,6532,9530,9777
매출,6304,6532,9530,9777
기타 매출 총계,-,-,-,-
총매출원가,2375,2119,3621,4693
총 이익,3929,4413,5909,5084
총 영업비용,4775,3780,5975,7048
판매/일반/관리 비용 총계,1663,1356,1922,2013
연구 및 개발,368,210,332,365
감가상각/무형자산상각,-,-,-,-
영업이자비용(수익) 순계,262,44,51,45
특별비용(수익),90,60,101,119
기타 영업비용 총계,17,-9,-52,-187
영업 이익,1529,2752,3555,2729
영업외이자수익(비용) 순계,-,-,-,-
자산처분이익(손실),-,-,-,-
기타비용 순계,-,-,-,-
세전당기순이익,1529,2752,3555,2729
소득세충당금,178,496,337,576
세후당기순이익,1351,2256,3218,2153
소액주주지분,-,-,-,-
관계회사 주식,-,-,-,-
미국 일반회계기준에 따른 조정,-,-,-,-
특별손익항목 차감전 당기순이익,1351,2256,3218,2153
특별손익항목 총계,-,-96,-,-
순이익,1351,2160,3218,2153
당기순이익에 대한 조정 총계,-,-,-,-
특별손익항목 제외 보통주주 분배 가능 이익,1351,2256,3218,2153
희석화에 따른 조정,-,-,-,-
희석 당기순이익,1351,2160,3218,2153
희석된 가중 평균 주식,254.19,253.13,253.13,253.13
특별손익항목 제외 희석주당순이익,5.31,8.91,12.71,8.51
주당배당금 - 발행 보통주,0.56,-,-,-
희석 정상주당순이익,5.63,9.11,13.07,8.88
