마감 기준:,"2021
31/12","2020
31/12","2019
31/12","2018
31/12"
총매출,3669,3416,3647.7,3534.5
매출,3537,3293,3518.8,3446.9
기타 매출 총계,132,123,128.9,87.6
총매출원가,258,182,221.7,232.3
총 영업비용,2874,2676,2870,2840.1
연료비,642,652,776.7,855
운영 및 유지,1213,1119,1193.6,1141.5
판매/일반/관리 비용 총계,-,-,-,-
연구 및 개발,-,-,-,-
감가상각/무형자산상각,657,615,567.2,506.9
영업이자비용(수익) 순계,-,-,-,-
특별비용(수익),-,-,-,-
기타 영업비용 총계,104,108,110.8,104.4
영업 이익,795,740,777.7,694.4
영업외이자수익(비용) 순계,-190,-159,-127.2,-116.8
자산처분이익(손실),-,-,-,-
기타비용 순계,-5,-14,-14.4,-7.6
세전당기순이익,600,567,636.1,570
소득세충당금,-74,-57,68.7,53.3
세후당기순이익,674,624,567.4,516.7
소액주주지분,-,-,-,-
관계회사 주식,-,-,-,-
미국 일반회계기준에 따른 조정,-,-,-,-
특별손익항목 차감전 당기순이익,674,624,567.4,516.7
특별손익항목 총계,-,-,-,5.6
순이익,674,624,567.4,522.3
당기순이익에 대한 조정 총계,-15,-10,-10.2,-10.2
특별손익항목 제외 보통주주 분배 가능 이익,659,614,557.2,506.5
희석화에 따른 조정,-,-,-,-
희석 당기순이익,659,614,557.2,512.1
희석된 가중 평균 주식,250.7,248.7,239,233.6
특별손익항목 제외 희석주당순이익,2.63,2.47,2.33,2.17
주당배당금 - 발행 보통주,1.61,1.52,1.42,1.34
희석 정상주당순이익,2.63,2.47,2.33,2.17
