마감 기준:,"2021
30/05","2020
31/05","2019
26/05","2018
27/05"
총매출,3670.9,3792.4,3756.5,3423.7
매출,3670.9,3792.4,3756.5,3423.7
기타 매출 총계,-,-,-,-
총매출원가,2838.9,2897.2,2753,2544.2
총 이익,832,895.2,1003.5,879.5
총 영업비용,3196.1,3235.5,3088.1,2843.6
판매/일반/관리 비용 총계,343,322.8,316.4,295.4
연구 및 개발,12.9,15.4,15.4,-
감가상각/무형자산상각,-,-,-,-
영업이자비용(수익) 순계,1.3,0.1,3.3,-4.7
특별비용(수익),-,-,-,8.7
기타 영업비용 총계,-,-,-,-
영업 이익,474.8,556.9,668.4,580.1
영업외이자수익(비용) 순계,-118.3,-108,-107.1,-108.8
자산처분이익(손실),-,-,-,-
기타비용 순계,-,-,-,-
세전당기순이익,356.5,448.9,561.3,471.3
소득세충당금,90.5,112.3,136,195
세후당기순이익,266,336.6,425.3,276.3
소액주주지분,-,-,-8.6,-16.9
관계회사 주식,51.8,29.3,59.5,83.6
미국 일반회계기준에 따른 조정,-,-,-,-
특별손익항목 차감전 당기순이익,317.8,365.9,476.2,343
특별손익항목 총계,-,-,2.4,73.8
순이익,317.8,365.9,478.6,416.8
당기순이익에 대한 조정 총계,-,-,-10.8,-2.7
특별손익항목 제외 보통주주 분배 가능 이익,317.8,365.9,465.4,340.3
희석화에 따른 조정,-,-,-,-
희석 당기순이익,317.8,365.9,467.8,414.1
희석된 가중 평균 주식,147.1,147.1,147.3,147
특별손익항목 제외 희석주당순이익,2.16,2.49,3.16,2.31
주당배당금 - 발행 보통주,0.93,0.83,0.77,0.75
희석 정상주당순이익,2.16,2.49,3.16,2.35
