마감 기준:,"2021
31/12","2020
31/12","2019
31/12","2018
31/12"
총매출,3930,3777,3610,3440
매출,3930,3777,3610,3440
기타 매출 총계,-,-,-,-
총매출원가,-,-,1544,1479
총 영업비용,1987,2529,2444,2342
연료비,-,-,-,-
운영 및 유지,1777,1622,1544,1479
판매/일반/관리 비용 총계,-,-,-,-
연구 및 개발,-,-,-,-
감가상각/무형자산상각,636,604,582,545
영업이자비용(수익) 순계,-,-,-,-
특별비용(수익),-747,-,38,41
기타 영업비용 총계,321,303,280,277
영업 이익,1943,1248,1166,1098
영업외이자수익(비용) 순계,-399,-395,-382,-350
자산처분이익(손실),-,-,-,-
기타비용 순계,96,71,49,39
세전당기순이익,1640,924,833,787
소득세충당금,377,215,212,210
세후당기순이익,1263,709,621,577
소액주주지분,-,-,-,2
관계회사 주식,-,-,-,-
미국 일반회계기준에 따른 조정,-,-,-,-
특별손익항목 차감전 당기순이익,1263,709,621,579
특별손익항목 총계,-,-,-,-12
순이익,1263,709,621,567
당기순이익에 대한 조정 총계,-,-,-,-
특별손익항목 제외 보통주주 분배 가능 이익,1263,709,621,579
희석화에 따른 조정,-,-,-,-
희석 당기순이익,1263,709,621,567
희석된 가중 평균 주식,182,182,181,180
특별손익항목 제외 희석주당순이익,6.94,3.9,3.43,3.22
주당배당금 - 발행 보통주,2.36,2.15,1.96,1.78
희석 정상주당순이익,3.78,3.9,3.59,3.38
