마감 기준:,"2021
31/12","2020
31/12","2019
31/12","2018
31/12"
총매출,168864,171760,181193,170756
매출,168864,171760,181193,170756
기타 매출 총계,-,-,-,-
총매출원가,79807,79920,84141,79419
총 이익,89057,91840,97052,91337
총 영업비용,145517,165355,153238,143834
판매/일반/관리 비용 총계,38034,38975,39490,36678
연구 및 개발,-,-,-,-
감가상각/무형자산상각,22862,28516,28217,28430
영업이자비용(수익) 순계,-,-,-,-
특별비용(수익),4814,17944,1390,-693
기타 영업비용 총계,-,-,-,-
영업 이익,23347,6405,27955,26922
영업외이자수익(비용) 순계,-5955,-7634,-8215,-8185
자산처분이익(손실),-,-,-,-
기타비용 순계,9555,-1627,-1272,6136
세전당기순이익,26947,-2856,18468,24873
소득세충당금,5468,965,3493,5638
세후당기순이익,21479,-3821,14975,19235
소액주주지분,-1398,-1355,-1072,-583
관계회사 주식,-,-,-,-
미국 일반회계기준에 따른 조정,-,-,-,-
특별손익항목 차감전 당기순이익,20081,-5176,13903,18652
특별손익항목 총계,-,-,-,718
순이익,20081,-5176,13903,19370
당기순이익에 대한 조정 총계,-207,-193,-3,-
특별손익항목 제외 보통주주 분배 가능 이익,19874,-5369,13900,18652
희석화에 따른 조정,22,-,21,19
희석 당기순이익,19896,-5369,13921,19389
희석된 가중 평균 주식,7199,7157,7348,6806
특별손익항목 제외 희석주당순이익,2.76,-0.75,1.89,2.74
주당배당금 - 발행 보통주,2.08,2.08,2.04,2
희석 정상주당순이익,3.34,1.03,2.23,2.89
