마감 기준:,"2022
02/01","2021
03/01","2019
29/12","2018
30/12"
총매출,4526,3239,3543,3333
매출,4526,3239,3543,3333
기타 매출 총계,-,-,-,-
총매출원가,1372,1036,1076,1033
총 이익,3154,2203,2467,2300
총 영업비용,4649,2659,2504,2450
판매/일반/관리 비용 총계,2092,941,835,794
연구 및 개발,1185,682,647,623
감가상각/무형자산상각,-,1,1,-
영업이자비용(수익) 순계,-,-,-,-
특별비용(수익),-,147,-54,-
기타 영업비용 총계,-,-,-,-
영업 이익,-123,580,1039,883
영업외이자수익(비용) 순계,919,237,75,8
자산처분이익(손실),-,-,-,-
기타비용 순계,88,39,4,3
세전당기순이익,884,856,1118,894
소득세충당금,122,200,128,101
세후당기순이익,762,656,990,793
소액주주지분,-,-,12,44
관계회사 주식,-,-,-,-
미국 일반회계기준에 따른 조정,-,-,-,-
특별손익항목 차감전 당기순이익,762,656,1002,837
특별손익항목 총계,-,-,-,-11
순이익,762,656,1002,826
당기순이익에 대한 조정 총계,-,-,-,-
특별손익항목 제외 보통주주 분배 가능 이익,762,656,1002,837
희석화에 따른 조정,-,-,2.26,2.44
희석 당기순이익,762,656,1002,826
희석된 가중 평균 주식,151,148,149,149
특별손익항목 제외 희석주당순이익,5.05,4.43,6.72,5.62
주당배당금 - 발행 보통주,-,-,-,-
희석 정상주당순이익,5.05,4.43,6.4,5.62
