마감 기준:,"2021
31/12","2020
31/12","2019
31/12","2018
31/12"
총매출,10476,8473,9273,10151
매출,10476,8473,9273,10151
기타 매출 총계,-,-,-,-
총매출원가,7976,6498,7039,7672
총 이익,2500,1975,2234,2479
총 영업비용,9196,7733,8153,8606
판매/일반/관리 비용 총계,795,654,691,714
연구 및 개발,254,226,234,235
감가상각/무형자산상각,-,8,-,-
영업이자비용(수익) 순계,-6,1,-1,-5
특별비용(수익),600,220,126,7
기타 영업비용 총계,-423,126,64,-17
영업 이익,1280,740,1120,1545
영업외이자수익(비용) 순계,-198,-210,-218,-235
자산처분이익(손실),-,-,-,-
기타비용 순계,-,-,-,21
세전당기순이익,1082,530,902,1310
소득세충당금,215,41,140,246
세후당기순이익,867,489,762,1064
소액주주지분,-10,-11,-3,-4
관계회사 주식,-,-,-,-
미국 일반회계기준에 따른 조정,-,-,-,-
특별손익항목 차감전 당기순이익,857,478,759,1060
특별손익항목 총계,-,-,-,20
순이익,857,478,759,1080
당기순이익에 대한 조정 총계,-,-,-,-
특별손익항목 제외 보통주주 분배 가능 이익,857,478,759,1060
희석화에 따른 조정,-,-,-,-
희석 당기순이익,857,478,759,1080
희석된 가중 평균 주식,137.1,136.5,138.5,142.9
특별손익항목 제외 희석주당순이익,6.25,3.5,5.48,7.42
주당배당금 - 발행 보통주,2.76,2.64,2.48,2.24
희석 정상주당순이익,8.2,6.61,7.12,8.02
