마감 기준:,"2021
31/12","2020
31/12","2019
31/12","2018
31/12"
총매출,57350,55179,77147,79591
매출,57350,55179,77147,79591
기타 매출 총계,-,-,-,-
총매출원가,25865,24314,40659,42655
총 이익,31485,30865,36488,36936
총 영업비용,52513,52607,66981,68249
판매/일반/관리 비용 총계,18608,18539,19501,18217
연구 및 개발,6488,6262,5989,5379
감가상각/무형자산상각,1116,1104,762,435
영업이자비용(수익) 순계,971,1174,485,481
특별비용(수익),301,1989,555,598
기타 영업비용 총계,-836,-775,-970,484
영업 이익,4837,2572,10166,11342
영업외이자수익(비용) 순계,-,-,-,-
자산처분이익(손실),-,-,-,-
기타비용 순계,-,-1,-,-
세전당기순이익,4837,2572,10166,11342
소득세충당금,213,-1470,585,582
세후당기순이익,4624,4042,9581,10760
소액주주지분,-,-,-,-
관계회사 주식,-,-,-,-
미국 일반회계기준에 따른 조정,-,-,-,-
특별손익항목 차감전 당기순이익,4624,4042,9581,10760
특별손익항목 총계,1119,1548,-150,-2032
순이익,5743,5590,9431,8728
당기순이익에 대한 조정 총계,-,-,-,-
특별손익항목 제외 보통주주 분배 가능 이익,4624,4042,9581,10760
희석화에 따른 조정,-,-,-,-
희석 당기순이익,5743,5590,9431,8728
희석된 가중 평균 주식,904.64,896.56,892.81,916.32
특별손익항목 제외 희석주당순이익,5.11,4.51,10.73,11.74
주당배당금 - 발행 보통주,6.55,6.51,6.43,6.21
희석 정상주당순이익,5.73,7.08,13.7,13.49
