마감 기준:,"2021
31/12","2020
31/12","2019
31/12","2018
31/12"
총매출,9941.78,8901.53,8521.77,8472.5
매출,9941.78,8901.53,8521.77,8472.5
기타 매출 총계,-,-,-,-
총매출원가,-,-,-,-
총 영업비용,7948.46,6912.8,6931.28,6772.57
연료비,3372.34,2987.84,3040.16,3138.97
운영 및 유지,1739.68,1480.25,1363.11,1335.21
판매/일반/관리 비용 총계,-,-,-,-
연구 및 개발,-,-,-,-
감가상각/무형자산상각,1103.01,981.38,885.28,819.93
영업이자비용(수익) 순계,-,-,-,-
특별비용(수익),78.7,-2.9,234.94,24.3
기타 영업비용 총계,1654.73,1466.22,1407.78,1454.16
영업 이익,1993.32,1988.73,1590.49,1699.93
영업외이자수익(비용) 순계,-542.73,-518.35,-477.4,-498.81
자산처분이익(손실),-,1.8,0.3,-
기타비용 순계,121.68,86.69,76.68,128.37
세전당기순이익,1572.27,1558.87,1190.07,1329.49
소득세충당금,344.22,346.19,273.5,283.97
세후당기순이익,1228.05,1212.69,916.57,1045.52
소액주주지분,-7.52,-7.52,-7.52,-7.52
관계회사 주식,-,-,-,-
미국 일반회계기준에 따른 조정,-,-,-,-
특별손익항목 차감전 당기순이익,1220.53,1205.17,909.05,1038
특별손익항목 총계,-,-,-,-5
순이익,1220.53,1205.17,909.05,1033
당기순이익에 대한 조정 총계,-,-,-,-
특별손익항목 제외 보통주주 분배 가능 이익,1220.53,1205.17,909.05,1038
희석화에 따른 조정,-,-,-,-
희석 당기순이익,1220.53,1205.17,909.05,1033
희석된 가중 평균 주식,344.63,339.85,322.94,317.99
특별손익항목 제외 희석주당순이익,3.54,3.55,2.81,3.26
주당배당금 - 발행 보통주,2.41,2.27,2.14,2.02
희석 정상주당순이익,3.72,3.54,3.37,3.32
