마감 기준:,"2022
01/01","2021
02/01","2019
28/12","2018
29/12"
총매출,2988.24,2682.89,2336.32,2138.02
매출,2988.24,2682.89,2336.32,2138.02
기타 매출 총계,-,-,-,-
총매출원가,307.01,305.5,266.36,258.75
총 이익,2681.24,2377.39,2069.96,1879.28
총 영업비용,2209.16,2037.34,1844.52,1741.81
판매/일반/관리 비용 총계,749.28,670.88,621.48,573.08
연구 및 개발,1134.28,1033.73,935.94,884.82
감가상각/무형자산상각,19.64,18.01,12.13,14.09
영업이자비용(수익) 순계,-,-,-,-
특별비용(수익),-1.05,9.21,8.62,11.09
기타 영업비용 총계,-,-,-,-
영업 이익,779.09,645.55,491.8,396.21
영업외이자수익(비용) 순계,-10.39,-12.58,-12.12,-19.35
자산처분이익(손실),-,-,-,-
기타비용 순계,-0.26,-0.23,-0.71,-0.47
세전당기순이익,768.43,632.75,478.97,376.39
소득세충당금,72.48,42.1,-510.01,32.02
세후당기순이익,695.96,590.64,988.98,344.37
소액주주지분,-,-,-,-
관계회사 주식,-,-,-,-
미국 일반회계기준에 따른 조정,-,-,-,-
특별손익항목 차감전 당기순이익,695.96,590.64,988.98,344.37
특별손익항목 총계,-,-,-,1.41
순이익,695.96,590.64,988.98,345.78
당기순이익에 대한 조정 총계,-,-,-,-
특별손익항목 제외 보통주주 분배 가능 이익,695.96,590.64,988.98,344.37
희석화에 따른 조정,-,-,-,-
희석 당기순이익,695.96,590.64,988.98,345.78
희석된 가중 평균 주식,278.86,279.64,280.51,281.14
특별손익항목 제외 희석주당순이익,2.5,2.11,3.53,1.22
주당배당금 - 발행 보통주,-,-,-,-
희석 정상주당순이익,2.49,2.14,3.55,1.26
