마감 기준:,"2021
25/12","2020
26/12","2019
28/12","2018
29/12"
총매출,12401.02,10119.14,9985.8,9417.6
매출,12401.02,10119.14,9985.8,9417.6
기타 매출 총계,-,-,-,-
총매출원가,8728.77,7304.91,6894.92,6506.86
총 이익,3672.25,2814.23,3090.89,2910.75
총 영업비용,11549.36,9583.84,9267.54,8816.98
판매/일반/관리 비용 총계,2812.66,2246.83,2357.92,2217.27
연구 및 개발,-,-,-,-
감가상각/무형자산상각,-,-,-,-
영업이자비용(수익) 순계,-,-,-,-
특별비용(수익),7.94,32.09,14.71,92.86
기타 영업비용 총계,-,-,-,-
영업 이익,851.66,535.3,718.26,600.62
영업외이자수익(비용) 순계,-21.15,-31.54,-35.03,-60.52
자산처분이익(손실),-,-,-,-
기타비용 순계,0.04,-3.87,-2.92,-3.26
세전당기순이익,830.55,499.89,680.31,536.84
소득세충당금,197.35,95.37,159.51,119.11
세후당기순이익,633.2,404.52,520.79,417.73
소액주주지분,-29.29,-15.63,-24.77,-19.72
관계회사 주식,27.33,13.92,204.67,21.04
미국 일반회계기준에 따른 조정,-,-,-,-
특별손익항목 차감전 당기순이익,631.23,402.81,700.69,419.04
특별손익항목 총계,-,0.99,-5.96,116.84
순이익,631.23,403.79,694.73,535.88
당기순이익에 대한 조정 총계,-,-,-,-
특별손익항목 제외 보통주주 분배 가능 이익,631.23,402.81,700.69,419.04
희석화에 따른 조정,-,-,-,0.56
희석 당기순이익,631.23,403.79,694.73,535.88
희석된 가중 평균 주식,141.77,143.4,149.26,153.71
특별손익항목 제외 희석주당순이익,4.45,2.81,4.69,2.73
주당배당금 - 발행 보통주,-,-,-,-
희석 정상주당순이익,4.53,3.14,4.77,3.2
