마감 기준:,"2022
01/01","2021
02/01","2020
04/01","2018
29/12"
총매출,12382,11651,13630,13972
매출,12382,11651,13630,13972
기타 매출 총계,-,-,-,-
총매출원가,10297,10094,11406,11594
총 이익,2085,1557,2224,2378
총 영업비용,11526,11286,12630,12498
판매/일반/관리 비용 총계,1221,1045,1152,1275
연구 및 개발,-,-,-,-
감가상각/무형자산상각,-,-,-,-
영업이자비용(수익) 순계,-,-,-,-
특별비용(수익),8,147,72,-371
기타 영업비용 총계,-,-,12504,12851
영업 이익,856,365,1000,1474
영업외이자수익(비용) 순계,-142,-166,-171,-166
자산처분이익(손실),-,-,-,-
기타비용 순계,159,83,113,76
세전당기순이익,873,282,942,1384
소득세충당금,126,-27,127,176
세후당기순이익,747,309,815,1208
소액주주지분,-,-,-,-
관계회사 주식,-,-,-,-
미국 일반회계기준에 따른 조정,-,-,-,-
특별손익항목 차감전 당기순이익,747,309,815,1208
특별손익항목 총계,-1,-,-,14
순이익,746,309,815,1222
당기순이익에 대한 조정 총계,-,-,-,-
특별손익항목 제외 보통주주 분배 가능 이익,747,309,815,1208
희석화에 따른 조정,-,-,-,-
희석 당기순이익,746,309,815,1222
희석된 가중 평균 주식,226.52,228.98,232.71,253.24
특별손익항목 제외 희석주당순이익,3.3,1.35,3.5,4.77
주당배당금 - 발행 보통주,0.08,0.08,0.08,0.08
희석 정상주당순이익,3.33,1.77,3.77,3.49
