마감 기준:,"2021
31/12","2020
31/12","2019
31/12","2018
31/12"
총매출,5122.18,4738.56,4527.53,4303.75
총 프리미엄이익,4101.1,3815.23,3596.45,3423.04
순 투자이익,60.03,53.71,46.18,882.51
미실현이익 (손실),961.05,869.62,884.9,-1.8
기타 매출 총계,-,-,-,-
총 영업비용,4126.31,3755.17,3511.95,3350
"손익,혜택 및 조정,총",3191.13,2877.72,2655.4,2553.73
정책획득비용 상환,603.84,575.77,551.73,516.69
판매/일반/관리 비용 총계,311.46,296.73,295.42,274.42
감가상각/무형자산상각,-,-,-,-
영업이자비용(수익) 순계,-,-,-,-
특별비용(수익),17.45,3.91,8.76,3.59
기타 영업비용 총계,2.43,1.03,0.64,1.58
영업 이익,995.88,983.39,1015.59,953.75
영업외이자수익(비용) 순계,-83.49,-86.7,-84.31,-90.08
자산처분이익(손실),-,-,-,-
기타비용 순계,-,-,-,-
세전당기순이익,912.39,896.68,931.28,863.67
소득세충당금,167.43,164.91,170.4,162.96
세후당기순이익,744.96,731.77,760.88,700.71
소액주주지분,-,-,-,-
관계회사 주식,-,-,-,-
미국 일반회계기준에 따른 조정,-,-,-,-
특별손익항목 차감전 당기순이익,744.96,731.77,760.88,700.71
특별손익항목 총계,-,-,-0.09,0.75
순이익,744.96,731.77,760.79,701.47
당기순이익에 대한 조정 총계,-,-,-,-1
특별손익항목 제외 보통주주 분배 가능 이익,744.96,731.77,760.88,700.71
희석화에 따른 조정,-,-,-,-
희석 당기순이익,744.96,731.77,760.79,701.47
희석된 가중 평균 주식,103.17,107.22,111.38,115.25
특별손익항목 제외 희석주당순이익,7.22,6.82,6.83,6.08
주당배당금 - 발행 보통주,0.78,0.73,0.68,0.63
희석 정상주당순이익,7.36,6.85,6.9,6.11
