마감 기준:,"2022
30/01","2021
31/01","2020
02/02","2019
03/02"
총매출,9154.7,7132.6,9909,9656.8
매출,9154.7,7132.6,9909,9656.8
기타 매출 총계,-,-,-,-
총매출원가,3830.6,3355.8,4520.6,4348.5
총 이익,5324.1,3776.8,5388.4,5308.3
총 영업비용,8078.2,8209.2,9350.3,8765.1
판매/일반/관리 비용 총계,4380.3,3818.1,4603.4,4413.4
연구 및 개발,-,-,-,-
감가상각/무형자산상각,4.9,5.2,5.3,-
영업이자비용(수익) 순계,-23.7,-7.7,-13,-19.8
특별비용(수익),-49.8,1116.7,144,17.9
기타 영업비용 총계,-64.1,-78.9,90,5.1
영업 이익,1076.5,-1076.6,558.7,891.7
영업외이자수익(비용) 순계,-104.2,-116.4,-114.7,-116.1
자산처분이익(손실),-,-,-,-
기타비용 순계,0.4,-,-,-
세전당기순이익,972.7,-1193,444,775.6
소득세충당금,20.7,-55.5,28.9,55.7
세후당기순이익,952,-1137.5,415.1,719.9
소액주주지분,0.3,1.4,2.2,1.8
관계회사 주식,-,-,-,-
미국 일반회계기준에 따른 조정,-,-,-,-
특별손익항목 차감전 당기순이익,952.3,-1136.1,417.3,721.7
특별손익항목 총계,-,-,-,24.7
순이익,952.3,-1136.1,417.3,746.4
당기순이익에 대한 조정 총계,-,-,-,-
특별손익항목 제외 보통주주 분배 가능 이익,952.3,-1136.1,417.3,721.7
희석화에 따른 조정,-,-,-,-
희석 당기순이익,952.3,-1136.1,417.3,746.4
희석된 가중 평균 주식,71.9,71.2,74.6,77.3
특별손익항목 제외 희석주당순이익,13.24,-15.96,5.59,9.34
주당배당금 - 발행 보통주,-,0.04,0.15,0.15
희석 정상주당순이익,12.57,-5.76,8.96,10.32
