마감 기준:,"2021
31/12","2020
31/12","2019
31/12","2018
31/12"
총매출,21985,19456,20419,21037
매출,21985,19456,20419,21037
기타 매출 총계,-,-,-,-
총매출원가,17576,15614,16886,17500
총 이익,4409,3842,3533,3537
총 영업비용,19637,17841,18848,20758
판매/일반/관리 비용 총계,2081,1877,2142,2189
연구 및 개발,-,-,-,-
감가상각/무형자산상각,47,62,69,75
영업이자비용(수익) 순계,-,-,-,-
특별비용(수익),-67,288,-249,994
기타 영업비용 총계,-,-,-,-
영업 이익,2348,1615,1571,279
영업외이자수익(비용) 순계,-16,-168,-19,-300
자산처분이익(손실),-,-,-,-
기타비용 순계,-,-,-,-
세전당기순이익,2332,1447,1552,-21
소득세충당금,532,388,286,152
세후당기순이익,1800,1059,1266,-173
소액주주지분,-23,10,-14,-24
관계회사 주식,-8,-,-,-
미국 일반회계기준에 따른 조정,-,-,-,-
특별손익항목 차감전 당기순이익,1769,1069,1252,-197
특별손익항목 총계,14,6,-68,14
순이익,1783,1075,1184,-183
당기순이익에 대한 조정 총계,-,-,-,-
특별손익항목 제외 보통주주 분배 가능 이익,1769,1069,1252,-197
희석화에 따른 조정,-,-,-,-
희석 당기순이익,1783,1075,1184,-183
희석된 가중 평균 주식,62.9,63.3,64.2,67.2
특별손익항목 제외 희석주당순이익,28.12,16.89,19.5,-2.93
주당배당금 - 발행 보통주,5.45,4.85,4.75,4.55
희석 정상주당순이익,27.3,20.22,16.34,6.68
