마감 기준:,"2021
31/12","2020
31/12","2019
31/12","2018
31/12"
총매출,113977,64912,108324,117033
매출,113977,64912,108324,117033
기타 매출 총계,-,-,-,-
총매출원가,110848,65671,103635,111274
총 이익,3129,-759,4689,5759
총 영업비용,111847,66491,104488,112461
판매/일반/관리 비용 총계,865,756,868,925
연구 및 개발,-,-,-,-
감가상각/무형자산상각,47,48,53,52
영업이자비용(수익) 순계,-,-,-89,165
특별비용(수익),-,-19,-,-
기타 영업비용 총계,87,35,21,45
영업 이익,2130,-1579,3836,4572
영업외이자수익(비용) 순계,-603,-563,-379,-470
자산처분이익(손실),-,-,-,-
기타비용 순계,16,132,29,130
세전당기순이익,1543,-2010,3486,4232
소득세충당금,255,-903,702,896
세후당기순이익,1288,-1107,2784,3336
소액주주지분,-358,-314,-362,-231
관계회사 주식,-,-,-,-
미국 일반회계기준에 따른 조정,-,-,-,-
특별손익항목 차감전 당기순이익,930,-1421,2422,3105
특별손익항목 총계,-,-,-,17
순이익,930,-1421,2422,3122
당기순이익에 대한 조정 총계,-6,-5,-7,-9
특별손익항목 제외 보통주주 분배 가능 이익,924,-1426,2415,3096
희석화에 따른 조정,-,-,-,-
희석 당기순이익,924,-1426,2415,3113
희석된 가중 평균 주식,407,407,414,428
특별손익항목 제외 희석주당순이익,2.27,-3.5,5.83,7.23
주당배당금 - 발행 보통주,3.92,3.92,3.6,3.2
희석 정상주당순이익,2.27,-3.53,5.83,7.23
