마감 기준:,"2021
30/06","2020
30/06","2019
30/06","2018
30/06"
총매출,7341,6721,6214,6124
매출,7341,6721,6214,6124
기타 매출 총계,-,-,-,-
총매출원가,4142,3658,3486,3449
총 이익,3199,3063,2728,2675
총 영업비용,6441,5536,5190,5070
판매/일반/관리 비용 총계,1794,1644,1468,1407
연구 및 개발,149,145,136,132
감가상각/무형자산상각,31,13,17,11
영업이자비용(수익) 순계,-11,84,86,70
특별비용(수익),329,2,-,5
기타 영업비용 총계,7,-10,-3,-4
영업 이익,900,1185,1024,1054
영업외이자수익(비용) 순계,-,-,-,-
자산처분이익(손실),-,-,-,-
기타비용 순계,-,-,-,-
세전당기순이익,900,1185,1024,1054
소득세충당금,181,246,204,312
세후당기순이익,719,939,820,742
소액주주지분,-9,-,-,-
관계회사 주식,-,-,-,-
미국 일반회계기준에 따른 조정,-,-,-,-
특별손익항목 차감전 당기순이익,710,939,820,742
특별손익항목 총계,-,-,-,81
순이익,710,939,820,823
당기순이익에 대한 조정 총계,-,-,-,-
특별손익항목 제외 보통주주 분배 가능 이익,710,939,820,742
희석화에 따른 조정,-,-,-,-
희석 당기순이익,710,939,820,823
희석된 가중 평균 주식,127.3,127.67,129.79,131.58
특별손익항목 제외 희석주당순이익,5.58,7.35,6.32,5.64
주당배당금 - 발행 보통주,4.44,4.24,3.84,3.48
희석 정상주당순이익,7.64,7.37,6.32,5.67
