마감 기준:,"2021
29/08","2020
30/08","2019
01/09","2018
02/09"
총매출,195929,166761,152703,141576
매출,195929,166761,152703,141576
기타 매출 총계,-,-,-,-
총매출원가,170684,144831,132886,123152
총 이익,25245,21930,19817,18424
총 영업비용,189221,161326,147966,137096
판매/일반/관리 비용 총계,17938,15792,15080,13944
연구 및 개발,-,-,-,-
감가상각/무형자산상각,-,31,-,-
영업이자비용(수익) 순계,-,-,-,-
특별비용(수익),599,672,-,-
기타 영업비용 총계,-,-,-,-
영업 이익,6708,5435,4737,4480
영업외이자수익(비용) 순계,-74,-64,3,-61
자산처분이익(손실),-,-,-,-
기타비용 순계,46,-4,25,23
세전당기순이익,6680,5367,4765,4442
소득세충당금,1601,1308,1184,1244
세후당기순이익,5079,4059,3581,3198
소액주주지분,-72,-57,-45,-45
관계회사 주식,-,-,-,-
미국 일반회계기준에 따른 조정,-,-,-,-
특별손익항목 차감전 당기순이익,5007,4002,3536,3153
특별손익항목 총계,-,-,123,-19
순이익,5007,4002,3659,3134
당기순이익에 대한 조정 총계,-,-,-,-
특별손익항목 제외 보통주주 분배 가능 이익,5007,4002,3536,3153
희석화에 따른 조정,-,-,-,-
희석 당기순이익,5007,4002,3659,3134
희석된 가중 평균 주식,444.35,443.9,442.92,441.83
특별손익항목 제외 희석주당순이익,11.27,9.02,7.98,7.14
주당배당금 - 발행 보통주,2.89,2.65,2.36,2.07
희석 정상주당순이익,12.29,10.16,7.98,7.14
