마감 기준:,"2021
31/12","2020
31/12","2019
31/12","2018
31/12"
총매출,13088.5,11628.83,12506.11,11876.67
매출,13088.5,11628.83,12506.11,11876.67
기타 매출 총계,-,-,-,-
총매출원가,7766.07,7035.56,7654.31,7301.82
총 이익,5322.44,4593.27,4851.79,4574.86
총 영업비용,11637.7,10656,11609.34,10993.36
판매/일반/관리 비용 총계,3567.73,3266.07,3580.3,3352.73
연구 및 개발,-,-,-,-
감가상각/무형자산상각,259.99,272.29,290.77,274.21
영업이자비용(수익) 순계,-,-,-,-
특별비용(수익),43.9,82.09,83.95,64.6
기타 영업비용 총계,-,-,-,-
영업 이익,1450.81,972.83,896.77,883.31
영업외이자수익(비용) 순계,-72.08,-103.78,-105.75,-139.88
자산처분이익(손실),-,-,-,-
기타비용 순계,20.4,15.95,-,-
세전당기순이익,1399.13,885,791.02,743.43
소득세충당금,330.59,249.5,215.33,191.4
세후당기순이익,1068.54,635.5,575.69,552.04
소액주주지분,-1.25,-1.89,-2.8,-3.05
관계회사 주식,22.94,5.01,-32.28,-64.47
미국 일반회계기준에 따른 조정,-,-,-,-
특별손익항목 차감전 당기순이익,1090.22,638.62,540.62,484.51
특별손익항목 총계,0.65,-0.2,0.65,-4.4
순이익,1090.87,638.42,541.26,480.12
당기순이익에 대한 조정 총계,-,-,-,-
특별손익항목 제외 보통주주 분배 가능 이익,1090.22,638.62,540.62,484.51
희석화에 따른 조정,-,-,-,-
희석 당기순이익,1090.87,638.42,541.26,480.12
희석된 가중 평균 주식,297.72,305.01,310.97,315.85
특별손익항목 제외 희석주당순이익,3.66,2.09,1.74,1.53
주당배당금 - 발행 보통주,-,-,-,-
희석 정상주당순이익,3.77,2.29,1.93,1.69
