마감 기준:,"2021
31/12","2020
31/12","2019
31/12","2018
31/12"
총매출,18344,14461,14383,15784
매출,18344,14461,14383,15784
기타 매출 총계,-,-,-,-
총매출원가,5968,5192,5219,5507
총 이익,12376,9269,9164,10277
총 영업비용,9384,8567,8660,9071
판매/일반/관리 비용 총계,1666,1623,1645,1684
연구 및 개발,1554,1530,1544,1559
감가상각/무형자산상각,142,198,288,318
영업이자비용(수익) 순계,-,-,-,-
특별비용(수익),54,24,-36,3
기타 영업비용 총계,-,-,-,-
영업 이익,8960,5894,5723,6713
영업외이자수익(비용) 순계,-184,-190,-170,-125
자산처분이익(손실),-,-,-,-
기타비용 순계,143,313,175,98
세전당기순이익,8919,6017,5728,6686
소득세충당금,1150,422,711,1151
세후당기순이익,7769,5595,5017,5535
소액주주지분,-,-,-,-
관계회사 주식,-,-,-,-
미국 일반회계기준에 따른 조정,-,-,-,-
특별손익항목 차감전 당기순이익,7769,5595,5017,5535
특별손익항목 총계,-,-,-,45
순이익,7769,5595,5017,5580
당기순이익에 대한 조정 총계,-33,-27,-31,-42
특별손익항목 제외 보통주주 분배 가능 이익,7736,5568,4986,5493
희석화에 따른 조정,-,-,-,42
희석 당기순이익,7736,5568,4986,5538
희석된 가중 평균 주식,936,933,952.04,990
특별손익항목 제외 희석주당순이익,8.26,5.97,5.24,5.55
주당배당금 - 발행 보통주,4.21,3.72,3.21,2.63
희석 정상주당순이익,8.32,5.99,5.2,5.55
