마감 기준:,"2021
31/12","2020
31/12","2019
31/12","2018
31/12"
총매출,34818,32036,31585,30283
총 프리미엄이익,31612,29752,29000,27694
순 투자이익,3033,2227,2468,2474
미실현이익 (손실),173,57,117,115
기타 매출 총계,-,-,-,-
총 영업비용,30020,28460,28103,26970
"손익,혜택 및 조정,총",20298,19123,19133,18291
정책획득비용 상환,5043,4773,4601,4381
판매/일반/관리 비용 총계,4677,4509,4365,4297
감가상각/무형자산상각,-,-,-,-
영업이자비용(수익) 순계,-,-,-,-
특별비용(수익),2,55,4,1
기타 영업비용 총계,-,-,-,-
영업 이익,4798,3576,3482,3313
영업외이자수익(비용) 순계,-340,-339,-344,-352
자산처분이익(손실),-,-,-,-
기타비용 순계,-,-,-,-
세전당기순이익,4458,3237,3138,2961
소득세충당금,796,540,516,438
세후당기순이익,3662,2697,2622,2523
소액주주지분,-,-,-,-
관계회사 주식,-,-,-,-
미국 일반회계기준에 따른 조정,-,-,-,-
특별손익항목 차감전 당기순이익,3662,2697,2622,2523
특별손익항목 총계,-,-,-,-
순이익,3662,2697,2622,2523
당기순이익에 대한 조정 총계,-27,-19,-19,-19
특별손익항목 제외 보통주주 분배 가능 이익,3635,2678,2603,2504
희석화에 따른 조정,-,-,-,-
희석 당기순이익,3635,2678,2603,2504
희석된 가중 평균 주식,250.8,254.6,262.3,269.8
특별손익항목 제외 희석주당순이익,14.49,10.52,9.92,9.28
주당배당금 - 발행 보통주,3.46,3.34,3.18,2.98
희석 정상주당순이익,14.5,10.7,9.94,9.28
