마감 기준:,"2021
30/06","2020
30/06","2019
30/06","2018
30/06"
총매출,9358,9008,10074,9024
매출,9358,9008,10074,9024
기타 매출 총계,-,-,-,-
총매출원가,4779,4936,5622,4903
총 이익,4579,4072,4452,4121
총 영업비용,8908,10532,9720,9776
판매/일반/관리 비용 총계,3306,3059,3208,3049
연구 및 개발,-,-,-,-
감가상각/무형자산상각,680,644,659,472
영업이자비용(수익) 순계,21,90,59,981
특별비용(수익),150,1810,188,384
기타 영업비용 총계,-28,-7,-16,-13
영업 이익,450,-1524,354,-752
영업외이자수익(비용) 순계,-,-,-,-
자산처분이익(손실),-,-,-,-
기타비용 순계,-,-,-,-337
세전당기순이익,450,-1524,354,-1089
소득세충당금,61,21,126,182
세후당기순이익,389,-1545,228,-1271
소액주주지분,-59,276,-73,-70
관계회사 주식,-,-,-,-
미국 일반회계기준에 따른 조정,-,-,-,-
특별손익항목 차감전 당기순이익,330,-1269,155,-1341
특별손익항목 총계,-,-,-,-173
순이익,330,-1269,155,-1514
당기순이익에 대한 조정 총계,-,-,-,-2
특별손익항목 제외 보통주주 분배 가능 이익,330,-1269,155,-1343
희석화에 따른 조정,-,-,-,-
희석 당기순이익,330,-1269,155,-1516
희석된 가중 평균 주식,593.4,587.9,587.9,582.7
특별손익항목 제외 희석주당순이익,0.56,-2.16,0.26,-2.3
주당배당금 - 발행 보통주,0.2,0.2,0.2,0.2
희석 정상주당순이익,0.77,-0.16,0.47,-1.88
