마감 기준:,"2021
31/12","2020
31/12","2019
31/12","2018
31/12"
총매출,53823,31536,24578,21461.27
매출,53823,31536,24578,21461.27
기타 매출 총계,-,-,-,-
총매출원가,40217,24906,20509,17419.25
총 이익,13606,6630,4069,4042.02
총 영업비용,47300,29542,24647,21849.34
판매/일반/관리 비용 총계,4517,3145,2646,2834.49
연구 및 개발,2593,1491,1343,1460.37
감가상각/무형자산상각,-,-,-,-
영업이자비용(수익) 순계,-128,-,-,-
특별비용(수익),101,-,149,135.23
기타 영업비용 총계,-,-,-,-
영업 이익,6523,1994,-69,-388.07
영업외이자수익(비용) 순계,-218,-832,-593,-637.04
자산처분이익(손실),-,-,-,-
기타비용 순계,38,-8,-3,20.37
세전당기순이익,6343,1154,-665,-1004.75
소득세충당금,699,292,110,57.84
세후당기순이익,5644,862,-775,-1062.58
소액주주지분,-120,-172,-95,86.49
관계회사 주식,-,-,-,-
미국 일반회계기준에 따른 조정,-,-,-,-
특별손익항목 차감전 당기순이익,5524,690,-870,-976.09
특별손익항목 총계,-,-,-,-
순이익,5524,690,-870,-976.09
당기순이익에 대한 조정 총계,-,-,-,-
특별손익항목 제외 보통주주 분배 가능 이익,5524,690,-870,-976.09
희석화에 따른 조정,9,-,-,-
희석 당기순이익,5533,690,-870,-976.09
희석된 가중 평균 주식,1129,1083,887,852.62
특별손익항목 제외 희석주당순이익,4.9,0.64,-0.98,-1.14
주당배당금 - 발행 보통주,-,-,-,-
희석 정상주당순이익,4.98,0.64,-0.87,-1.04
