마감 기준:,"2022
01/01","2021
02/01","2019
28/12","2018
29/12"
총매출,4601.7,3942.2,4067.7,4070.4
매출,4601.7,3942.2,4067.7,4070.4
기타 매출 총계,-,-,-,-
총매출원가,2141.2,1830.7,1886,1870.7
총 이익,2460.5,2111.5,2181.7,2199.7
총 영업비용,3478.2,3061.7,3105.4,3122.1
판매/일반/관리 비용 총계,33.2,38,47.7,55.6
연구 및 개발,61.1,57.4,59.1,61.2
감가상각/무형자산상각,-,-,-,-
영업이자비용(수익) 순계,-,-,3,-2.1
특별비용(수익),-,27,-11.6,7.8
기타 영업비용 총계,1242.7,1108.6,1121.2,1128.9
영업 이익,1123.5,880.5,962.3,948.3
영업외이자수익(비용) 순계,-53.2,-56.2,-71.1,-94.1
자산처분이익(손실),-,-,-,-
기타비용 순계,16.6,10.9,30.9,55.7
세전당기순이익,1086.9,835.2,922.1,909.9
소득세충당금,247,189.1,211.8,210.5
세후당기순이익,839.9,646.1,710.3,699.4
소액주주지분,-20.9,-19.4,-17.7,-16.3
관계회사 주식,1.5,0.3,0.9,0.7
미국 일반회계기준에 따른 조정,-,-,-,-
특별손익항목 차감전 당기순이익,820.5,627,693.5,683.8
특별손익항목 총계,-,-,-,-3.9
순이익,820.5,627,693.5,679.9
당기순이익에 대한 조정 총계,-,-,-,-
특별손익항목 제외 보통주주 분배 가능 이익,820.5,627,693.5,683.8
희석화에 따른 조정,-,-,-,-
희석 당기순이익,820.5,627,693.5,679.9
희석된 가중 평균 주식,55,54.8,55.9,57.3
특별손익항목 제외 희석주당순이익,14.92,11.44,12.41,11.93
주당배당금 - 발행 보통주,5.11,4.47,3.93,3.41
희석 정상주당순이익,14.92,11.82,12.25,12.04
