마감 기준:,"2021
31/12","2020
31/12","2019
31/12","2018
31/12"
총매출,10876.3,8598.9,8225.4,8202
매출,10876.3,8598.9,8225.4,8202
기타 매출 총계,-,-,-,-
총매출원가,7474.5,5934.8,5609.4,5547.1
총 이익,3401.8,2664.1,2616,2654.9
총 영업비용,8771.2,6960.5,6620.5,6515.1
판매/일반/관리 비용 총계,908.6,753.5,971.4,959.5
연구 및 개발,317.7,260.7,-,-
감가상각/무형자산상각,-,-,-,-
영업이자비용(수익) 순계,-,-,-,-
특별비용(수익),70.4,11.5,39.7,8.5
기타 영업비용 총계,-,-,-,-
영업 이익,2105.1,1638.4,1604.9,1686.9
영업외이자수익(비용) 순계,-115.5,-115.4,-117.6,-101.7
자산처분이익(손실),-,-,-,-
기타비용 순계,-0.4,3.6,8.6,3.2
세전당기순이익,1989.2,1526.6,1495.9,1588.4
소득세충당금,409.1,313.3,331.9,284.5
세후당기순이익,1580.1,1213.3,1164,1303.9
소액주주지분,-10.7,-9.9,-9,-11.9
관계회사 주식,-,-,-,-
미국 일반회계기준에 따른 조정,-,-,-,-
특별손익항목 차감전 당기순이익,1569.4,1203.4,1155,1292
특별손익항목 총계,21.4,-,-,-87
순이익,1590.8,1203.4,1155,1205
당기순이익에 대한 조정 총계,-,-,-,-
특별손익항목 제외 보통주주 분배 가능 이익,1569.4,1203.4,1155,1292
희석화에 따른 조정,-,-,-,-
희석 당기순이익,1590.8,1203.4,1155,1205
희석된 가중 평균 주식,625.5,615,615.8,312.6
특별손익항목 제외 희석주당순이익,2.51,1.96,1.88,4.13
주당배당금 - 발행 보통주,0.64,0.52,0.48,0.88
희석 정상주당순이익,2.6,1.97,1.93,4.16
