마감 기준:,"2021
31/12","2020
31/12","2019
31/12","2018
31/12"
총매출,17870,7024,9671,9379
매출,17870,7024,9671,9379
기타 매출 총계,-,-,-,-
총매출원가,8478,4557,5645,5069
총 이익,9392,2467,4026,4310
총 영업비용,11728,6859,8216,7865
판매/일반/관리 비용 총계,292,244,324,381
연구 및 개발,51,47,58,114
감가상각/무형자산상각,2498,1639,1711,1534
영업이자비용(수익) 순계,-,-,4,-
특별비용(수익),363,278,263,520
기타 영업비용 총계,46,94,215,247
영업 이익,6142,165,1455,1514
영업외이자수익(비용) 순계,-2319,-435,-1,-380
자산처분이익(손실),-1077,9,-446,117
기타비용 순계,-,-,44,-
세전당기순이익,2746,-261,1008,1251
소득세충당금,628,-61,235,276
세후당기순이익,2118,-200,773,975
소액주주지분,-,-,-,3
관계회사 주식,-,-,-,-
미국 일반회계기준에 따른 조정,-,-,-,-
특별손익항목 차감전 당기순이익,2118,-200,773,978
특별손익항목 총계,-,-,-,-
순이익,2118,-200,773,978
당기순이익에 대한 조정 총계,-5,-,-3,-5
특별손익항목 제외 보통주주 분배 가능 이익,2118,-200,770,973
희석화에 따른 조정,-,-,-,-
희석 당기순이익,2118,-200,770,973
희석된 가중 평균 주식,246,165,167,171
특별손익항목 제외 희석주당순이익,8.61,-1.21,4.61,5.69
주당배당금 - 발행 보통주,6.83,2.2,1.2,0.32
희석 정상주당순이익,13.12,-0.15,7.87,7.53
